AltAGL,AltB,AltGPS,AltMSL,BaroA,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,E1_FFlow,E1_OilP,E1_OilT,E1_RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,VSpd,VSpdG,WndDr,WndSpd
0.00000,821.20000,747.70000,835.50000,29.65000,175.20000,168.25000,176.70000,181.14000,1076.76000,1057.39000,1033.27000,1040.07000,2.45000,58.74000,86.82000,997.00000,20.91000,18.50000,0.00000,0.00000,-0.00000,0.02000,31.80000,0.98000,0.14000,0.00000,25.20000,3.90000,0.00000,0.00000
0.00000,821.20000,748.20000,836.10000,29.65000,175.90000,168.78000,177.34000,181.78000,1074.11000,1057.63000,1034.92000,1039.92000,2.45000,58.55000,86.85000,988.30000,20.91000,18.50000,0.00000,0.00000,-0.01000,0.00000,31.80000,0.99000,0.13000,0.00000,33.74000,0.00000,0.00000,0.00000
0.00000,821.20000,748.60000,836.50000,29.65000,176.66000,169.44000,178.00000,182.53000,1077.00000,1057.77000,1035.03000,1041.08000,2.43000,58.61000,86.89000,990.20000,20.91000,18.50000,0.00000,0.00000,-0.01000,0.01000,31.80000,0.97000,0.16000,0.00000,24.27000,0.00000,0.00000,0.00000
0.00000,820.20000,748.60000,836.50000,29.65000,177.38000,169.94000,178.62000,183.18000,1081.09000,1057.82000,1034.61000,1041.82000,2.43000,58.64000,86.93000,993.40000,20.91000,18.50000,0.00000,0.00000,-0.00000,-0.02000,31.80000,0.92000,0.18000,0.00000,-12.72000,0.00000,0.00000,0.00000
0.00000,820.20000,747.60000,835.40000,29.65000,178.05000,170.46000,179.21000,183.79000,1082.70000,1057.78000,1035.31000,1042.53000,2.43000,58.71000,86.97000,997.30000,20.93000,18.52000,0.00000,0.00000,0.01000,-0.03000,31.80000,0.91000,0.16000,0.00000,-9.85000,0.00000,0.00000,0.00000
0.00000,820.20000,747.40000,835.20000,29.65000,178.75000,170.97000,179.80000,184.40000,1081.57000,1058.01000,1036.56000,1042.89000,2.39000,58.71000,87.01000,998.40000,20.93000,18.52000,0.00000,0.00000,-0.01000,0.00000,31.80000,0.94000,0.11000,0.00000,-8.60000,0.00000,0.00000,0.00000
0.00000,820.20000,746.10000,833.90000,29.65000,179.44000,171.49000,180.36000,185.02000,1077.84000,1058.81000,1038.92000,1042.85000,2.41000,58.60000,87.04000,994.50000,20.93000,18.55000,0.00000,0.00000,0.00000,-0.01000,31.80000,0.93000,0.13000,0.00000,-10.88000,3.90000,0.00000,0.00000
0.00000,820.20000,744.90000,832.70000,29.65000,180.13000,172.04000,181.02000,185.67000,1078.79000,1059.41000,1040.65000,1043.64000,2.46000,58.51000,87.08000,989.00000,20.93000,18.55000,0.00000,0.00000,-0.00000,0.00000,31.80000,0.94000,0.15000,0.00000,-12.57000,3.90000,0.00000,0.00000
0.00000,820.20000,744.60000,832.40000,29.65000,180.87000,172.62000,181.64000,186.35000,1084.25000,1060.15000,1041.03000,1044.11000,2.46000,58.62000,87.12000,992.90000,20.93000,18.55000,0.00000,0.00000,-0.01000,-0.01000,31.80000,0.96000,0.18000,0.00000,-1.30000,3.90000,0.00000,0.00000
0.00000,820.20000,744.40000,832.30000,29.65000,181.47000,173.08000,182.19000,186.94000,1088.13000,1059.73000,1040.26000,1043.83000,2.43000,58.72000,87.16000,998.00000,20.95000,18.55000,0.00000,0.00000,-0.01000,-0.01000,31.80000,0.92000,0.16000,0.00000,8.60000,0.00000,0.00000,0.00000
0.00000,819.20000,744.20000,832.10000,29.65000,182.09000,173.51000,182.53000,187.42000,1085.09000,1059.50000,1040.51000,1043.88000,2.43000,58.78000,87.20000,1003.30000,20.95000,18.52000,0.00000,0.00000,-0.00000,-0.01000,31.80000,0.91000,0.14000,0.00000,-21.86000,-3.90000,0.00000,0.00000
0.00000,820.20000,744.10000,831.90000,29.65000,182.11000,173.43000,182.62000,187.44000,1082.22000,1058.33000,1039.70000,1043.80000,2.42000,58.70000,87.24000,1001.40000,20.95000,18.52000,0.00000,0.00000,0.02000,-0.00000,32.00000,0.93000,0.20000,0.00000,-1.49000,-3.90000,0.00000,0.00000
0.00000,820.20000,745.20000,833.00000,29.65000,182.72000,173.83000,183.13000,187.97000,1083.00000,1057.82000,1039.11000,1044.25000,2.43000,58.75000,87.28000,1000.90000,20.95000,18.52000,0.00000,0.00000,0.01000,0.02000,32.00000,0.97000,0.20000,0.00000,0.80000,-3.90000,0.00000,0.00000
0.00000,820.20000,745.70000,833.50000,29.65000,183.38000,174.33000,183.68000,188.56000,1083.03000,1057.23000,1038.75000,1044.59000,2.42000,58.79000,87.32000,1005.30000,20.95000,18.50000,0.00000,0.00000,0.00000,0.02000,32.00000,0.96000,0.12000,0.00000,15.59000,-3.90000,0.00000,0.00000
0.00000,820.20000,746.10000,834.00000,29.65000,184.05000,174.85000,184.26000,189.16000,1080.93000,1056.01000,1039.25000,1044.49000,2.46000,58.72000,87.36000,1002.80000,20.95000,18.50000,0.00000,0.00000,-0.00000,0.01000,32.00000,0.97000,0.12000,0.00000,0.22000,0.00000,0.00000,0.00000
0.00000,821.20000,746.30000,834.20000,29.65000,184.72000,175.32000,184.83000,189.73000,1079.40000,1055.56000,1039.91000,1044.07000,2.41000,58.66000,87.40000,999.50000,20.95000,18.50000,0.00000,0.00000,-0.01000,-0.01000,32.00000,0.98000,0.23000,0.00000,18.36000,0.00000,0.00000,0.00000
