AltAGL,AltB,AltGPS,AltMSL,BaroA,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,E1_FFlow,E1_OilP,E1_OilT,E1_RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,VSpd,VSpdG,WndDr,WndSpd
0.00000,837.40000,750.10000,837.90000,29.79000,184.35000,194.56000,194.79000,207.89000,1141.19000,1079.03000,1062.34000,1069.48000,2.48000,56.22000,138.89000,1042.60000,24.00000,23.55000,0.00000,0.00000,-0.01000,-0.02000,30.00000,2.16000,0.46000,0.00000,-2.94000,0.00000,0.00000,0.00000
0.00000,837.40000,749.40000,837.20000,29.79000,184.96000,195.06000,195.33000,208.45000,1138.22000,1077.88000,1061.81000,1070.18000,2.46000,56.17000,138.85000,1047.00000,24.00000,23.55000,0.00000,0.00000,-0.00000,-0.00000,30.00000,2.15000,0.49000,0.00000,9.73000,0.00000,0.00000,0.00000
0.00000,836.40000,750.20000,838.00000,29.79000,185.53000,195.57000,195.95000,209.00000,1134.47000,1077.65000,1061.96000,1070.92000,2.42000,56.10000,138.81000,1036.80000,24.00000,23.55000,0.00000,0.00000,-0.00000,0.02000,30.00000,2.14000,0.49000,0.00000,-11.41000,0.00000,0.00000,0.00000
0.00000,837.40000,750.10000,837.90000,29.79000,186.15000,196.11000,196.52000,209.53000,1135.73000,1078.74000,1062.10000,1071.67000,2.51000,56.19000,138.77000,1040.00000,24.00000,23.57000,0.00000,0.00000,-0.02000,0.01000,30.00000,2.14000,0.48000,0.00000,0.85000,0.00000,0.00000,0.00000
0.00000,837.40000,750.00000,837.80000,29.79000,186.72000,196.60000,197.12000,210.07000,1138.43000,1078.98000,1061.74000,1071.97000,2.44000,56.08000,138.74000,1036.00000,24.00000,23.57000,0.00000,0.00000,-0.01000,-0.01000,30.00000,2.13000,0.56000,0.00000,8.11000,0.00000,0.00000,0.00000
0.00000,837.40000,750.00000,837.80000,29.79000,187.34000,197.12000,197.63000,210.61000,1140.22000,1078.32000,1062.43000,1072.92000,2.47000,56.16000,138.70000,1038.00000,24.00000,23.59000,0.00000,0.00000,-0.01000,0.00000,30.00000,2.11000,0.54000,0.00000,-11.54000,0.00000,0.00000,0.00000
0.00000,837.40000,750.50000,838.30000,29.79000,187.94000,197.69000,198.19000,211.14000,1140.44000,1078.46000,1063.89000,1072.86000,2.45000,56.19000,138.66000,1039.20000,24.00000,23.59000,0.00000,0.00000,-0.00000,-0.03000,30.00000,2.13000,0.53000,0.00000,1.59000,0.00000,0.00000,0.00000
0.00000,837.40000,751.40000,839.20000,29.79000,188.47000,198.15000,198.82000,211.67000,1140.90000,1078.55000,1065.29000,1072.62000,2.51000,56.11000,138.63000,1036.90000,24.00000,23.57000,0.00000,0.00000,-0.01000,0.02000,30.00000,2.15000,0.51000,0.00000,-7.83000,7.90000,0.00000,0.00000
0.00000,837.40000,750.50000,838.40000,29.79000,189.19000,198.75000,199.38000,212.28000,1141.08000,1079.02000,1066.95000,1072.77000,2.48000,56.20000,138.60000,1040.60000,24.00000,23.55000,0.00000,0.00000,-0.01000,0.00000,30.00000,2.13000,0.51000,0.00000,-2.45000,0.00000,0.00000,0.00000
0.00000,837.40000,750.80000,838.60000,29.79000,189.86000,199.36000,200.09000,212.92000,1140.57000,1078.29000,1067.67000,1072.76000,2.51000,56.24000,138.56000,1045.80000,23.98000,23.53000,0.00000,0.00000,0.01000,0.03000,30.00000,2.16000,0.54000,0.00000,12.77000,0.00000,0.00000,0.00000
0.00000,837.40000,750.90000,838.70000,29.79000,190.94000,200.28000,201.16000,213.93000,1139.84000,1078.66000,1067.98000,1073.11000,2.50000,56.17000,138.50000,1039.90000,23.98000,23.51000,0.00000,0.00000,-0.01000,0.02000,30.00000,2.18000,0.54000,0.00000,0.68000,0.00000,0.00000,0.00000
0.00000,836.40000,749.30000,837.10000,29.79000,191.50000,200.82000,201.70000,214.45000,1139.96000,1079.43000,1068.86000,1073.25000,2.46000,56.21000,138.46000,1040.30000,23.98000,23.51000,0.00000,0.00000,-0.00000,-0.00000,30.00000,2.18000,0.52000,0.00000,-13.02000,0.00000,0.00000,0.00000
0.00000,836.40000,748.60000,836.50000,29.79000,192.06000,201.26000,202.22000,214.96000,1139.72000,1079.41000,1068.87000,1073.58000,2.47000,56.31000,138.43000,1049.90000,23.98000,23.51000,0.00000,0.00000,-0.02000,0.01000,30.00000,2.16000,0.51000,0.00000,-15.76000,0.00000,0.00000,0.00000
0.00000,837.40000,748.90000,836.70000,29.79000,192.63000,201.79000,202.83000,215.46000,1136.84000,1079.58000,1069.38000,1073.55000,2.47000,56.16000,138.40000,1044.90000,23.98000,23.57000,0.00000,0.00000,-0.01000,-0.01000,30.00000,2.15000,0.55000,0.00000,-1.35000,0.00000,0.00000,0.00000
0.00000,837.40000,749.00000,836.80000,29.79000,193.20000,202.24000,203.31000,215.99000,1136.08000,1080.13000,1068.85000,1073.33000,2.47000,56.29000,138.37000,1049.00000,23.98000,23.61000,0.00000,0.00000,-0.01000,0.01000,30.00000,2.16000,0.54000,0.00000,9.55000,0.00000,0.00000,0.00000
0.00000,837.40000,749.00000,836.80000,29.79000,193.76000,202.77000,203.91000,216.50000,1131.87000,1080.99000,1068.93000,1073.39000,2.47000,56.35000,138.34000,1051.80000,23.98000,23.66000,0.00000,0.00000,-0.01000,-0.01000,30.00000,2.14000,0.51000,0.00000,8.17000,0.00000,0.00000,0.00000
0.00000,837.40000,749.00000,836.80000,29.79000,193.71000,202.71000,203.86000,216.41000,1127.59000,1080.79000,1068.46000,1073.39000,2.50000,56.29000,138.31000,1051.50000,24.00000,23.68000,0.00000,0.00000,-0.01000,-0.01000,30.00000,2.14000,0.52000,0.00000,0.49000,0.00000,0.00000,0.00000
0.00000,837.40000,749.60000,837.40000,29.79000,194.12000,202.97000,204.26000,216.76000,1126.36000,1080.89000,1069.10000,1073.17000,2.45000,56.19000,138.29000,1044.70000,24.00000,23.70000,0.00000,0.00000,-0.01000,-0.02000,30.00000,2.13000,0.57000,0.00000,0.01000,0.00000,0.00000,0.00000
0.00000,837.40000,750.30000,838.20000,29.79000,194.55000,203.44000,204.66000,217.18000,1128.12000,1081.19000,1069.88000,1073.53000,2.50000,56.27000,138.26000,1047.50000,24.00000,23.70000,0.00000,0.00000,-0.01000,-0.01000,30.00000,2.14000,0.53000,0.00000,0.90000,0.00000,0.00000,0.00000
0.00000,837.40000,750.10000,837.90000,29.79000,195.17000,203.97000,205.24000,217.76000,1128.13000,1080.98000,1069.65000,1074.22000,2.53000,56.15000,138.22000,1043.20000,24.00000,23.68000,0.00000,0.00000,-0.01000,0.02000,30.00000,2.18000,0.51000,0.00000,0.94000,0.00000,0.00000,0.00000
0.00000,837.40000,750.20000,838.00000,29.79000,195.68000,204.32000,205.78000,218.20000,1131.28000,1080.84000,1068.87000,1074.57000,2.49000,56.26000,138.20000,1046.30000,24.00000,23.59000,0.00000,0.00000,-0.00000,-0.01000,30.00000,2.11000,0.53000,0.00000,1.96000,0.00000,0.00000,0.00000
0.00000,838.40000,750.20000,838.10000,29.79000,196.26000,204.83000,206.28000,218.74000,1129.97000,1080.18000,1068.71000,1074.86000,2.48000,56.23000,138.17000,1048.00000,24.00000,23.55000,0.00000,0.00000,-0.01000,-0.01000,30.00000,2.09000,0.47000,0.00000,4.87000,0.00000,0.00000,0.00000
0.00000,838.40000,750.30000,838.10000,29.79000,196.81000,205.36000,206.89000,219.29000,1130.85000,1078.77000,1068.49000,1074.54000,2.45000,56.40000,138.15000,1054.50000,24.00000,23.49000,0.00000,0.00000,-0.01000,0.01000,30.00000,2.13000,0.47000,0.00000,15.41000,0.00000,0.00000,0.00000
0.00000,838.40000,749.80000,837.70000,29.79000,197.36000,205.84000,207.37000,219.74000,1127.14000,1078.53000,1068.65000,1073.77000,2.44000,56.45000,138.12000,1060.30000,24.00000,23.47000,0.00000,0.00000,-0.00000,0.02000,30.00000,2.12000,0.54000,0.00000,12.36000,-3.90000,0.00000,0.00000
0.00000,837.40000,748.80000,836.70000,29.79000,197.88000,206.30000,207.89000,220.24000,1121.14000,1079.70000,1069.29000,1073.48000,2.45000,56.35000,138.09000,1056.70000,24.00000,23.47000,0.00000,0.00000,-0.02000,0.01000,30.00000,2.12000,0.48000,0.00000,-13.13000,0.00000,0.00000,0.00000
0.00000,837.40000,748.90000,836.70000,29.79000,198.43000,206.83000,208.39000,220.75000,1115.18000,1081.47000,1069.20000,1074.43000,2.45000,56.35000,138.06000,1057.60000,24.00000,23.44000,0.00000,0.00000,-0.01000,0.01000,30.00000,2.13000,0.47000,0.00000,-12.28000,0.00000,0.00000,0.00000
