#AltAGL,AltB,AltGPS,AltMSL,AltMSL Lag Diff,amp1,amp2,BaroA,COM1,COM2,E1 CHT Variance,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT Variance,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HDG,HPLfd,HPLwas,IAS,LatAc,Latitude,Longitude,MagVar,NormAc,OAT,Pitch,Roll,TAS,Total Fuel,TRK,volt1,volt2,VPLwas,VSpd,VSpdG,WndDr,WndSpd
#ft agl,ft Baro,ft wgs,ft msl,ft msl,amps,amps,inch,MHz,MHz,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,gph,psi,deg F,rpm,gals,gals,kt,deg,mt,mt,kt,G,degrees,degrees,deg,G,deg C,deg,deg,kt,gals,deg,volts,volts,mt,fpm,fpm,deg,kt
0.0,857.0,750.7,838.5,-0.6000000000000227,5.1,0.2,29.97,118.4,123.3,16.870000000000005,182.53,184.2,191.01,199.4,93.85000000000014,1143.18,1054.21,1049.33,1058.83,2.34,57.94,108.49,1048.5,19.52,18.11,0.0,178.5,36.0,15.0,0.0,0.01,47.9481888,-97.1727295,3.1,-0.0,24.0,1.24,0.12,0.0,37.629999999999995,268.2,28.2,28.2,19.0,1.24,0.0,NaN,NaN
0.0,858.0,751.1,838.9,-0.20000000000004547,5.1,0.2,29.97,118.4,123.3,16.819999999999993,183.12,184.72,191.53,199.94,94.50999999999999,1143.24,1054.71,1048.73,1059.44,2.32,57.85,108.49,1047.3,19.52,18.11,0.0,178.5,36.0,15.0,0.0,-0.0,47.9481888,-97.1727371,3.1,0.01,24.0,1.23,0.11,0.0,37.629999999999995,268.2,28.2,28.2,19.0,12.06,0.0,NaN,NaN
0.0,858.0,751.3,839.1,0.10000000000002274,5.1,0.2,29.97,118.4,123.3,16.789999999999992,183.69,185.26,192.12,200.48,92.77999999999997,1141.52,1055.52,1048.74,1060.74,2.33,57.88,108.48,1046.9,19.52,18.11,0.0,178.5,36.5,15.0,0.0,0.0,47.9481888,-97.1727371,3.1,0.01,24.0,1.24,0.12,0.0,37.629999999999995,268.2,28.2,28.2,19.0,5.28,0.0,NaN,NaN
0.0,858.0,751.4,839.2,0.40000000000009095,5.1,0.2,29.97,118.4,123.3,16.78,184.27,185.77,192.64,201.05,91.3599999999999,1139.55,1057.05,1048.19,1061.97,2.31,57.95,108.47,1049.6,19.52,18.08,0.0,178.5,36.5,15.0,0.0,-0.01,47.9481888,-97.1727371,3.1,-0.0,24.0,1.23,0.09,0.0,37.599999999999994,268.2,28.2,28.2,19.0,15.17,0.0,NaN,NaN
0.0,858.0,751.6,839.4,0.6999999999999318,5.0,0.2,29.97,118.4,123.3,16.74000000000001,184.82,186.27,193.22,201.56,90.73000000000002,1139.04,1057.12,1048.31,1062.1,2.32,57.98,108.47,1052.8,19.55,18.06,0.0,178.5,37.0,15.0,0.0,0.0,47.9481888,-97.1727371,3.1,0.01,24.0,1.25,0.11,0.0,37.61,268.2,28.2,28.2,19.0,10.02,0.0,NaN,NaN
0.0,858.0,750.7,838.5,0.20000000000004547,5.1,0.2,29.97,118.4,123.3,16.670000000000016,185.42,186.8,193.74,202.09,91.73000000000002,1140.32,1056.89,1048.59,1061.46,2.36,57.92,108.46,1050.7,19.55,18.06,0.0,178.5,36.5,15.0,0.0,-0.01,47.9481888,-97.1727295,3.1,-0.02,24.0,1.22,0.12,0.0,37.61,268.2,28.2,28.2,19.0,0.5,0.0,NaN,NaN
0.0,858.0,751.0,838.8,0.599999999999909,5.0,0.2,29.97,118.4,123.3,16.680000000000007,185.98,187.32,194.29,202.66,92.17000000000007,1140.95,1057.38,1048.78,1061.23,2.3,57.97,108.45,1052.5,19.55,18.03,0.0,178.5,36.0,15.0,0.0,-0.01,47.9481888,-97.1727295,3.1,0.0,24.0,1.25,0.07,0.0,37.58,268.2,28.2,28.2,19.0,0.01,0.0,NaN,NaN
0.0,858.0,751.1,839.0,0.8999999999999773,5.0,0.2,29.97,118.4,123.3,16.659999999999997,186.61,187.9,194.84,203.27,92.39999999999986,1141.37,1057.65,1048.97,1061.22,2.3,57.95,108.45,1051.2,19.55,18.03,0.0,178.5,36.0,15.0,0.0,0.01,47.9481888,-97.1727295,3.1,0.0,24.0,1.24,0.1,0.0,37.58,268.2,28.2,28.2,18.0,0.0,3.9,NaN,NaN
0.0,859.0,751.4,839.2,1.2000000000000455,5.0,0.2,29.97,118.4,123.3,16.640000000000015,187.22,188.45,195.41,203.86,90.57999999999993,1140.27,1057.69,1049.69,1061.73,2.32,57.84,108.44,1049.2,19.52,18.03,0.0,178.5,36.0,15.0,0.0,-0.0,47.9481888,-97.1727295,3.1,0.01,24.0,1.26,0.02,0.0,37.55,268.2,28.2,28.2,19.0,16.81,0.0,NaN,NaN
0.0,858.0,751.6,839.4,0.7999999999999545,4.9,0.2,29.97,118.4,123.3,16.57000000000002,187.79,188.97,195.93,204.36,91.32999999999993,1141.32,1058.58,1049.99,1061.7,2.35,57.92,108.44,1052.1,19.52,18.03,0.0,178.5,36.5,15.0,0.0,-0.0,47.9481888,-97.1727295,3.1,-0.0,24.0,1.25,0.09,0.0,37.55,268.2,28.2,28.2,19.0,5.72,0.0,NaN,NaN
0.0,858.0,751.7,839.5,1.0,4.9,0.2,29.97,118.4,123.3,16.57000000000002,187.92,189.07,196.13,204.49,90.68999999999983,1140.6,1058.7,1049.91,1061.17,2.29,57.91,108.43,1052.1,19.52,18.03,0.0,178.4,37.0,15.0,0.0,-0.01,47.9481888,-97.1727295,3.1,-0.01,23.8,1.24,0.09,0.0,37.55,268.2,28.2,28.2,19.0,-10.76,0.0,NaN,NaN
1.0,859.0,753.0,840.8,1.8999999999999773,5.0,0.2,29.97,118.4,123.3,16.519999999999982,188.08,189.17,196.21,204.6,88.67000000000007,1139.29,1058.54,1050.62,1061.3,2.33,57.88,108.43,1050.7,19.52,18.06,0.0,178.4,36.0,15.0,0.0,-0.01,47.9481888,-97.1727295,3.1,0.02,23.8,1.25,0.04,0.0,37.58,268.2,28.2,28.2,19.0,12.73,-3.9,NaN,NaN
1.0,859.0,752.9,840.7,1.6000000000000227,5.0,0.2,29.97,118.4,123.3,16.480000000000018,188.6,189.65,196.71,205.08,85.76999999999998,1137.53,1059.44,1051.76,1062.05,2.26,57.94,108.43,1052.0,19.52,18.06,0.0,178.5,36.0,15.0,0.0,-0.0,47.9481888,-97.1727295,3.1,-0.03,23.8,1.23,0.09,0.0,37.58,268.2,28.2,28.2,19.0,20.14,0.0,NaN,NaN
2.0,858.0,753.6,841.4,2.199999999999932,5.0,0.2,29.97,118.4,123.3,16.47,189.11,190.15,197.26,205.58,81.78999999999996,1135.03,1060.04,1053.24,1063.04,2.31,57.89,108.42,1051.1,19.55,18.06,0.0,178.5,36.0,14.0,0.0,0.0,47.9481888,-97.1727371,3.1,0.01,23.8,1.27,0.05,0.0,37.61,268.2,28.2,28.2,18.0,-4.6,0.0,NaN,NaN
2.0,858.0,753.8,841.6,2.2000000000000455,4.9,0.2,29.97,118.4,123.3,16.389999999999986,189.68,190.64,197.72,206.07,80.04000000000019,1134.16,1060.18,1054.12,1064.6,2.29,57.79,108.42,1047.0,19.55,18.08,0.0,178.5,36.0,15.0,0.0,0.0,47.9481888,-97.1727371,3.1,-0.01,23.8,1.24,0.03,0.0,37.629999999999995,268.2,28.2,28.2,18.0,-14.88,0.0,NaN,NaN
2.0,859.0,753.9,841.7,3.2000000000000455,4.9,0.2,29.97,118.4,123.3,16.420000000000016,190.2,191.13,198.29,206.62,82.80999999999995,1136.54,1060.23,1053.73,1066.41,2.34,57.89,108.42,1049.3,19.57,18.08,0.0,178.5,36.5,15.0,0.0,-0.0,47.9481888,-97.1727371,3.1,0.0,23.8,1.26,0.04,0.0,37.65,268.2,28.2,28.2,19.0,-1.13,0.0,NaN,NaN
2.0,858.0,754.0,841.9,3.1000000000000227,5.0,0.2,29.97,118.4,123.3,16.390000000000015,190.73,191.64,198.8,207.12,83.51000000000022,1136.88,1060.87,1053.37,1067.11,2.33,57.96,108.41,1053.7,19.57,18.08,0.0,178.4,36.5,15.0,0.0,0.0,47.9481888,-97.1727371,3.1,-0.01,23.8,1.25,0.08,0.0,37.65,268.2,28.2,28.2,19.0,-0.04,-3.9,NaN,NaN
1.0,859.0,752.6,840.4,1.3999999999999773,4.9,0.2,29.97,118.4,123.3,16.370000000000005,191.26,192.11,199.33,207.63,81.18000000000006,1134.43,1061.35,1053.25,1067.8,2.36,57.91,108.41,1054.5,19.57,18.08,0.0,178.4,36.0,15.0,0.0,-0.0,47.9481888,-97.1727295,3.1,0.01,23.8,1.29,0.05,0.0,37.65,268.2,28.2,28.2,18.0,-0.0,0.0,NaN,NaN
1.0,859.0,752.4,840.2,1.0,4.8,0.2,29.97,118.4,123.3,16.309999999999974,191.86,192.67,199.87,208.17,79.48000000000002,1132.5,1061.77,1053.02,1068.75,2.38,57.87,108.41,1050.8,19.57,18.08,0.0,178.5,36.0,15.0,0.0,-0.0,47.9481888,-97.1727295,3.1,0.0,23.8,1.25,0.05,0.0,37.65,268.2,28.2,28.2,19.0,-0.0,0.0,NaN,NaN
