#AltAGL,AltB,AltGPS,AltMSL,AltMSL Lag Diff,amp1,amp2,BaroA,COM1,COM2,CRS,E1 CHT Variance,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT Variance,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HAL,HCDI,HDG,HPLfd,HPLwas,IAS,LatAc,Latitude,Longitude,MagVar,NAV2,NormAc,OAT,Pitch,Roll,TAS,Total Fuel,TRK,volt1,volt2,VPLwas,VSpd,VSpdG,WndDr,WndSpd,WptBrg,WptDst
#ft agl,ft Baro,ft wgs,ft msl,ft msl,amps,amps,inch,MHz,MHz,deg,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,gph,psi,deg F,rpm,gals,gals,kt,mt,fsd,deg,mt,mt,kt,G,degrees,degrees,deg,MHz,G,deg C,deg,deg,kt,gals,deg,volts,volts,mt,fpm,fpm,deg,kt,deg,nm
0.0,855.8,745.7,833.6,-0.8999999999999773,4.2,0.2,30.05,120.55,124.575,160.5,21.47,231.88,224.27,243.57,245.74,24.300000000000182,1047.12,1053.57,1071.42,1067.92,2.37,53.13,157.89,965.9,21.15,21.91,0.0,3704.0,NaN,357.2,43.0,34.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,0.01,27.2,1.25,-0.21,0.0,43.06,267.5,28.1,28.1,46.0,-14.35,-3.9,NaN,NaN,NaN,NaN
0.0,856.8,746.2,834.0,1.7999999999999545,4.2,0.2,30.05,120.55,124.575,160.5,21.45999999999998,232.23,224.58,243.87,246.04,25.950000000000045,1046.06,1054.74,1072.01,1067.74,2.34,53.29,157.86,968.8,21.15,21.94,0.0,3704.0,NaN,357.2,42.5,34.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,-0.0,27.2,1.23,-0.15,0.0,43.09,267.5,28.1,28.1,46.0,0.74,-3.9,NaN,NaN,NaN,NaN
0.0,855.8,746.4,834.2,2.0,4.1,0.2,30.05,120.55,124.575,160.5,21.5,232.59,224.84,244.12,246.34,26.569999999999936,1046.17,1055.76,1072.74,1064.3,2.36,53.15,157.82,965.9,21.15,21.96,0.0,3704.0,NaN,357.2,42.5,34.0,0.0,0.0,47.9485931,-97.1728058,3.1,108.4,-0.01,27.2,1.21,-0.14,0.0,43.11,267.5,28.1,28.1,46.0,5.96,-3.9,NaN,NaN,NaN,NaN
0.0,856.8,745.2,833.1,1.0,4.1,0.2,30.05,120.55,124.575,160.5,21.49000000000001,232.96,225.1,244.46,246.59,27.12000000000012,1046.32,1055.99,1073.44,1063.63,2.33,53.02,157.79,958.9,21.15,21.96,0.0,3704.0,NaN,357.2,42.0,34.0,0.0,-0.0,47.9485931,-97.1728058,3.1,108.4,-0.01,27.2,1.22,-0.14,0.0,43.11,267.5,28.1,28.1,46.0,9.95,-3.9,NaN,NaN,NaN,NaN
0.0,856.8,745.2,833.0,0.7999999999999545,4.1,0.2,30.05,120.55,124.575,160.5,21.5,233.3,225.36,244.75,246.86,29.199999999999818,1043.91,1056.2,1073.11,1063.71,2.31,53.07,157.76,953.5,21.15,21.96,0.0,3704.0,NaN,357.2,42.5,34.0,0.0,0.01,47.9485931,-97.1728058,3.1,108.4,-0.01,27.2,1.22,-0.1,0.0,43.11,267.5,28.1,28.1,46.0,13.36,-3.9,NaN,NaN,NaN,NaN
0.0,855.8,745.1,832.9,0.1999999999999318,4.0,0.2,30.05,120.55,124.575,160.5,21.559999999999974,233.64,225.61,245.01,247.17,33.330000000000155,1037.83,1052.16,1071.16,1063.68,2.34,53.03,157.72,955.1,21.15,21.96,0.0,3704.0,NaN,357.2,42.5,34.0,0.0,-0.0,47.9485931,-97.1728058,3.1,108.4,0.01,27.2,1.23,-0.15,0.0,43.11,267.5,28.1,28.1,46.0,-7.16,-3.9,NaN,NaN,NaN,NaN
0.0,854.8,745.0,832.8,0.6999999999999318,4.0,0.2,30.05,120.55,124.575,160.5,21.529999999999973,233.18,225.11,244.54,246.64,33.70999999999981,1035.39,1047.77,1069.1,1063.5,2.34,52.98,157.69,953.9,21.17,21.96,0.0,3704.0,NaN,357.2,42.5,34.0,0.0,0.01,47.9485931,-97.1728058,3.1,108.4,-0.01,27.2,1.21,-0.12,0.0,43.13,267.5,28.1,28.1,46.0,-18.1,-3.9,NaN,NaN,NaN,NaN
0.0,854.8,745.2,833.0,-0.39999999999997726,4.0,0.2,30.05,120.55,124.575,160.5,21.55000000000001,233.43,225.29,244.68,246.84,31.220000000000027,1037.75,1045.68,1068.97,1062.53,2.34,52.9,157.66,951.4,21.17,21.94,0.0,3704.0,NaN,357.2,42.0,34.0,0.0,0.0,47.9485931,-97.1728058,3.1,108.4,0.0,27.2,1.21,-0.11,0.0,43.11,267.5,28.1,28.1,46.0,-30.21,-3.9,NaN,NaN,NaN,NaN
0.0,853.8,745.6,833.4,0.0,4.0,0.2,30.05,120.55,124.575,160.5,21.539999999999992,233.77,225.56,244.99,247.1,28.839999999999918,1040.44,1044.8,1069.28,1063.07,2.3,52.94,157.63,950.4,21.17,21.91,0.0,3704.0,NaN,357.2,42.0,34.0,0.0,0.0,47.9485931,-97.1728058,3.1,108.4,0.01,27.2,1.24,-0.11,0.0,43.08,267.5,28.1,28.1,46.0,-31.94,0.0,NaN,NaN,NaN,NaN
0.0,853.8,746.0,833.8,0.2999999999999545,3.9,0.2,30.05,120.55,124.575,160.5,21.569999999999993,234.11,225.81,245.25,247.38,27.6400000000001,1041.33,1044.67,1068.97,1063.77,2.32,53.04,157.59,952.0,21.17,21.89,0.0,3704.0,NaN,357.2,42.0,33.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,0.02,27.2,1.24,-0.11,0.0,43.06,267.5,28.1,28.1,46.0,-32.0,3.9,NaN,NaN,NaN,NaN
