AltAGL,AltB,AltGPS,AltMSL,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,E1_FFlow,E1_OilP,E1_OilT,E1_RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,VSpd,VSpdG,WndDr,WndSpd
0.00000,834.50000,750.00000,837.80000,1061.94000,1021.78000,1060.22000,1039.61000,2.42000,56.96000,110.72000,1067.50000,19.44000,21.37000,0.00000,0.00000,-0.01000,-0.01000,26.20000,3.09000,0.37000,0.00000,-4.81000,0.00000,0.00000,0.00000
0.00000,833.50000,751.30000,839.10000,1062.46000,1023.84000,1058.91000,1039.56000,2.42000,56.91000,110.73000,1063.10000,19.42000,21.35000,0.00000,0.00000,-0.00000,-0.02000,26.20000,3.09000,0.38000,0.00000,-41.73000,0.00000,0.00000,0.00000
0.00000,833.50000,751.50000,839.30000,1061.75000,1024.05000,1058.28000,1039.62000,2.43000,56.95000,110.70000,1066.60000,19.42000,21.32000,0.00000,0.00000,-0.00000,0.05000,26.20000,3.11000,0.40000,0.00000,-46.73000,0.00000,0.00000,0.00000
0.00000,833.50000,751.60000,839.40000,1060.09000,1023.00000,1057.47000,1040.35000,2.43000,56.88000,110.67000,1059.30000,19.42000,21.36000,0.00000,0.00000,-0.01000,-0.00000,26.20000,3.10000,0.37000,0.00000,-34.46000,0.00000,0.00000,0.00000
0.00000,832.50000,751.70000,839.50000,1058.54000,1022.74000,1055.97000,1041.16000,2.43000,56.96000,110.66000,1067.30000,19.40000,21.35000,0.00000,0.00000,-0.02000,-0.00000,26.00000,3.11000,0.37000,0.00000,-19.24000,0.00000,0.00000,0.00000
0.00000,831.50000,750.70000,838.60000,1059.76000,1022.86000,1055.18000,1040.43000,2.44000,57.10000,110.67000,1071.90000,19.37000,21.34000,0.00000,0.00000,0.00000,-0.01000,26.00000,3.15000,0.35000,0.00000,-39.75000,0.00000,0.00000,0.00000
0.00000,832.50000,751.40000,839.20000,1058.62000,1021.97000,1053.54000,1041.75000,2.42000,57.17000,110.67000,1073.10000,19.40000,21.33000,0.00000,0.00000,0.00000,-0.05000,26.00000,3.12000,0.36000,0.00000,-19.34000,0.00000,0.00000,0.00000
0.00000,832.50000,750.00000,837.80000,1057.59000,1022.43000,1054.91000,1041.57000,2.41000,57.29000,110.64000,1077.90000,19.35000,21.27000,0.00000,0.00000,0.00000,-0.00000,26.00000,3.12000,0.35000,0.00000,-11.13000,-3.90000,0.00000,0.00000
0.00000,832.50000,750.10000,837.90000,1060.51000,1023.38000,1056.02000,1042.80000,2.41000,57.32000,110.62000,1078.50000,19.36000,21.28000,0.00000,0.00000,-0.02000,-0.00000,26.00000,3.14000,0.35000,0.00000,-14.63000,0.00000,0.00000,0.00000
0.00000,831.50000,750.10000,837.90000,1063.54000,1025.31000,1054.76000,1042.97000,2.43000,57.24000,110.60000,1072.50000,19.38000,21.34000,0.00000,0.00000,-0.01000,-0.02000,26.00000,3.14000,0.36000,0.00000,-19.16000,0.00000,0.00000,0.00000
