AltAGL,AltB,AltGPS,AltMSL,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,E1_FFlow,E1_OilP,E1_OilT,E1_RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,VSpd,VSpdG,WndDr,WndSpd
0.00000,794.60000,749.50000,837.30000,1054.12000,1026.15000,1053.20000,1033.73000,1.86000,58.68000,78.07000,975.90000,24.00000,24.00000,0.00000,0.00000,-0.00000,0.01000,18.50000,1.88000,0.18000,0.00000,-0.13000,0.00000,0.00000,0.00000
0.00000,794.60000,750.90000,838.70000,1056.15000,1028.03000,1052.11000,1035.32000,1.89000,58.77000,78.08000,978.90000,24.00000,24.00000,0.00000,0.00000,0.01000,0.01000,18.50000,1.89000,0.18000,0.00000,-0.00000,0.00000,0.00000,0.00000
0.00000,794.60000,750.90000,838.80000,1059.12000,1030.03000,1051.26000,1036.03000,1.89000,58.74000,78.11000,976.00000,24.00000,24.00000,0.00000,0.00000,-0.00000,0.01000,18.50000,1.86000,0.18000,0.00000,-0.00000,0.00000,0.00000,0.00000
0.00000,794.60000,751.10000,838.90000,1061.58000,1031.07000,1051.99000,1036.94000,1.88000,58.72000,78.14000,977.40000,24.00000,24.00000,0.00000,0.00000,0.00000,0.02000,18.50000,1.87000,0.16000,0.00000,-0.00000,0.00000,0.00000,0.00000
0.00000,794.60000,751.10000,838.90000,1063.83000,1032.66000,1053.01000,1038.72000,1.87000,58.69000,78.14000,976.60000,24.00000,24.00000,0.00000,0.00000,-0.00000,0.03000,18.50000,1.87000,0.16000,0.00000,-9.92000,0.00000,0.00000,0.00000
0.00000,794.60000,751.20000,839.00000,1062.60000,1033.29000,1055.98000,1037.94000,1.87000,58.81000,78.17000,982.30000,24.00000,24.00000,0.00000,0.00000,-0.01000,0.01000,18.50000,1.86000,0.16000,0.00000,-15.75000,3.90000,0.00000,0.00000
0.00000,794.60000,750.40000,838.30000,1061.25000,1031.84000,1056.56000,1038.24000,1.87000,58.79000,78.19000,980.00000,24.00000,24.00000,0.00000,0.00000,0.01000,-0.00000,18.50000,1.85000,0.16000,0.00000,-15.99000,0.00000,0.00000,0.00000
0.00000,794.60000,749.40000,837.20000,1058.64000,1032.36000,1056.38000,1038.01000,1.87000,58.72000,78.20000,976.60000,24.00000,24.00000,0.00000,0.00000,0.00000,0.00000,18.50000,1.85000,0.15000,0.00000,-16.00000,0.00000,0.00000,0.00000
0.00000,794.60000,749.30000,837.10000,1060.07000,1033.91000,1054.50000,1038.60000,1.86000,58.54000,78.20000,972.20000,24.00000,24.00000,0.00000,0.00000,0.00000,-0.01000,18.50000,1.82000,0.16000,0.00000,-16.00000,0.00000,0.00000,0.00000
0.00000,794.60000,749.30000,837.10000,1060.06000,1035.68000,1054.58000,1038.32000,1.86000,58.50000,78.26000,969.70000,24.00000,24.00000,0.00000,0.00000,0.00000,0.00000,18.50000,1.87000,0.16000,0.00000,-16.00000,0.00000,0.00000,0.00000
0.00000,794.60000,749.20000,837.00000,1060.11000,1037.40000,1054.95000,1038.01000,1.86000,58.48000,78.27000,971.10000,24.00000,24.00000,0.00000,0.00000,-0.00000,0.00000,18.50000,1.87000,0.16000,0.00000,-11.49000,0.00000,0.00000,0.00000
0.00000,794.60000,749.20000,837.00000,1057.28000,1037.37000,1057.79000,1037.97000,1.86000,58.48000,78.32000,972.00000,24.00000,24.00000,0.00000,0.00000,-0.01000,-0.01000,18.50000,1.85000,0.18000,0.00000,-1.11000,0.00000,0.00000,0.00000
