#AltAGL,AltB,AltGPS,AltMSL,AltMSL Lag Diff,amp1,BaroA,COM1,COM2,CRS,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HAL,HCDI,HDG,HPLfd,HPLwas,IAS,LatAc,Latitude,Longitude,MagVar,NAV1,NormAc,OAT,Pitch,Roll,TAS,Total Fuel,TRK,volt1,VPLwas,VSpd,VSpdG,WndDr,WndSpd,WptBrg,WptDst
#ft agl,ft Baro,ft wgs,ft msl,ft msl,amps,inch,MHz,MHz,deg,deg F,deg F,deg F,deg F,gph,psi,deg F,rpm,gals,gals,kt,mt,fsd,deg,mt,mt,kt,G,degrees,degrees,deg,MHz,G,deg C,deg,deg,kt,gals,deg,volts,mt,fpm,fpm,deg,kt,deg,nm
3.0,841.0,751.8,839.6,-0.6000000000000227,6.4,30.06,120.55,119.4,266.0,1101.4,1078.41,1103.99,1099.85,2.41,55.85,140.53,1109.8,21.5,18.86,0.0,3704.0,NaN,356.5,19.0,14.0,0.0,-0.02,47.9479561,-97.1724472,3.1,109.1,0.02,28.5,3.35,0.94,0.0,40.36,266.8,28.0,18.0,-25.42,0.0,NaN,NaN,NaN,NaN
4.0,841.0,752.4,840.2,0.6000000000000227,6.4,30.06,120.55,119.4,266.0,1100.85,1079.55,1100.64,1101.5,2.39,55.8,140.56,1107.3,21.5,18.89,0.0,3704.0,NaN,356.4,19.0,14.0,0.0,-0.01,47.9479561,-97.1724472,3.1,109.1,-0.02,28.5,3.31,0.94,0.0,40.39,266.8,28.0,18.0,-18.15,0.0,NaN,NaN,NaN,NaN
4.0,841.0,752.9,840.7,1.0,6.2,30.06,120.55,119.4,266.0,1099.11,1080.8,1102.52,1101.24,2.42,55.83,140.5,1113.0,21.5,18.81,0.0,3704.0,NaN,356.4,19.0,14.0,0.0,-0.03,47.9479561,-97.1724472,3.1,109.1,-0.02,28.5,3.33,0.94,0.0,40.31,266.8,28.0,18.0,-19.65,0.0,NaN,NaN,NaN,NaN
3.0,841.0,752.1,840.0,0.20000000000004547,6.4,30.06,120.55,119.4,266.0,1099.02,1080.74,1102.83,1102.81,2.41,55.96,140.51,1114.8,21.49,18.8,0.0,3704.0,NaN,356.4,19.0,14.0,0.0,-0.02,47.9479561,-97.1724472,3.1,109.1,-0.02,28.5,3.32,0.93,0.0,40.29,266.8,28.0,18.0,-15.54,-3.9,NaN,NaN,NaN,NaN
3.0,840.0,752.2,840.0,0.20000000000004547,6.4,30.06,120.55,119.4,266.0,1099.2,1080.51,1103.17,1103.28,2.41,55.96,140.47,1113.2,21.5,18.79,0.0,3704.0,NaN,356.4,19.0,14.0,0.0,-0.03,47.9479561,-97.1724472,3.1,109.1,-0.02,28.5,3.32,0.96,0.0,40.29,266.8,28.0,18.0,-24.34,0.0,NaN,NaN,NaN,NaN
3.0,840.0,752.2,840.0,0.7999999999999545,6.5,30.06,120.55,119.4,266.0,1099.38,1081.18,1104.71,1104.15,2.4,55.87,140.47,1112.5,21.48,18.79,0.0,3704.0,NaN,356.4,19.0,14.0,0.0,-0.03,47.9479561,-97.1724472,3.1,109.1,0.02,28.5,3.33,0.91,0.0,40.269999999999996,266.8,28.0,18.0,-31.67,0.0,NaN,NaN,NaN,NaN
4.0,840.0,752.3,840.1,1.2000000000000455,6.5,30.06,120.55,119.4,266.0,1097.75,1081.23,1104.88,1103.78,2.43,55.97,140.44,1116.4,21.53,18.75,0.0,3704.0,NaN,356.3,19.0,14.0,0.0,-0.02,47.9479561,-97.1724472,3.1,109.1,-0.01,28.5,3.31,0.94,0.0,40.28,266.8,28.0,18.0,-31.99,0.0,NaN,NaN,NaN,NaN
3.0,840.0,751.7,839.6,0.0,6.4,30.06,120.55,119.4,266.0,1097.38,1080.93,1104.08,1103.36,2.44,55.96,140.39,1112.2,21.54,18.74,0.0,3704.0,NaN,356.4,19.0,14.0,0.0,-0.01,47.9479561,-97.1724548,3.1,109.1,0.01,28.5,3.35,0.93,0.0,40.28,266.8,28.0,18.0,-13.38,-3.9,NaN,NaN,NaN,NaN
2.0,840.0,750.8,838.6,-1.1000000000000227,6.4,30.06,120.55,119.4,266.0,1100.17,1083.02,1102.74,1104.16,2.43,55.92,140.4,1112.5,21.5,18.77,0.0,3704.0,NaN,356.3,19.0,14.0,0.0,-0.05,47.9479561,-97.1724548,3.1,109.1,-0.03,28.5,3.33,0.92,0.0,40.269999999999996,266.8,28.0,18.0,-3.08,0.0,NaN,NaN,NaN,NaN
3.0,841.0,751.4,839.2,-0.5,6.3,30.06,120.55,119.4,266.0,1100.77,1085.3,1102.02,1103.8,2.43,55.81,140.36,1107.3,21.51,18.74,0.0,3704.0,NaN,356.4,18.5,14.0,0.0,-0.01,47.9479561,-97.1724472,3.1,109.1,0.01,28.5,3.31,0.94,0.0,40.25,266.8,28.0,18.0,-0.46,0.0,NaN,NaN,NaN,NaN
