AltAGL,AltB,AltGPS,AltMSL,BaroA,E1_CHT1,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,E1_FFlow,E1_MAP,E1_OilP,E1_OilT,E1_RPM,E2_CHT1,E2_EGT1,E2_EGT2,E2_EGT3,E2_EGT4,E2_FFlow,E2_OilP,E2_OilT,E2_RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,VSpd,VSpdG,WndDr,WndSpd
1.00000,813.80000,749.50000,837.30000,29.84000,265.96000,1025.95000,1057.44000,1120.39000,1028.02000,1.68000,12.12000,50.87000,144.93000,1058.50000,234.59000,955.78000,991.59000,959.16000,1067.29000,2.14000,50.64000,144.69000,1024.00000,48.25000,54.00000,0.00000,0.00000,0.01000,0.00000,24.20000,0.80000,-0.21000,0.00000,-5.78000,3.90000,0.00000,0.00000
1.00000,813.80000,749.50000,837.30000,29.84000,266.31000,1023.69000,1059.14000,1117.99000,1028.33000,1.65000,12.10000,50.82000,144.88000,1061.40000,235.04000,956.79000,991.41000,959.06000,1061.90000,2.08000,50.62000,144.66000,1016.00000,48.17000,54.00000,0.00000,0.00000,0.01000,-0.01000,24.20000,0.80000,-0.22000,0.00000,-13.87000,3.90000,0.00000,0.00000
1.00000,813.80000,749.60000,837.40000,29.84000,266.62000,1024.39000,1058.44000,1115.87000,1028.16000,1.63000,12.11000,50.78000,144.88000,1059.70000,235.42000,954.71000,990.88000,961.83000,1059.25000,2.09000,50.59000,144.64000,1012.40000,48.19000,54.00000,0.00000,0.00000,0.01000,0.00000,24.20000,0.81000,-0.23000,0.00000,-10.33000,3.90000,0.00000,0.00000
1.00000,813.80000,749.40000,837.20000,29.84000,266.99000,1024.11000,1058.67000,1113.27000,1029.19000,1.63000,12.12000,50.89000,144.80000,1059.30000,235.83000,956.07000,991.13000,964.04000,1060.93000,2.18000,50.44000,144.63000,1010.80000,48.25000,54.00000,0.00000,0.00000,-0.00000,0.00000,24.20000,0.81000,-0.21000,0.00000,-14.49000,3.90000,0.00000,0.00000
1.00000,813.80000,749.70000,837.50000,29.84000,267.34000,1024.34000,1059.37000,1115.33000,1029.14000,1.64000,12.16000,50.82000,144.78000,1054.40000,236.23000,954.87000,991.01000,963.78000,1060.49000,2.24000,50.52000,144.61000,1013.30000,48.21000,54.00000,0.00000,0.00000,0.01000,0.01000,24.20000,0.81000,-0.22000,0.00000,-15.94000,3.90000,0.00000,0.00000
0.00000,813.80000,748.90000,836.80000,29.84000,267.71000,1027.45000,1059.40000,1116.73000,1028.73000,1.65000,12.20000,50.72000,144.75000,1047.40000,236.66000,956.80000,989.08000,962.34000,1060.54000,2.12000,50.44000,144.57000,1010.60000,48.24000,54.00000,0.00000,0.00000,0.01000,0.00000,24.20000,0.81000,-0.22000,0.00000,-3.43000,3.90000,0.00000,0.00000
0.00000,813.80000,748.60000,836.50000,29.84000,268.01000,1028.78000,1058.68000,1117.94000,1027.14000,1.66000,12.17000,50.76000,144.75000,1047.00000,237.06000,958.80000,989.24000,960.27000,1062.94000,2.08000,50.44000,144.54000,1003.20000,48.29000,54.00000,0.00000,0.00000,0.00000,0.01000,24.20000,0.81000,-0.22000,0.00000,-0.13000,3.90000,0.00000,0.00000
0.00000,813.80000,748.40000,836.20000,29.84000,268.31000,1026.09000,1057.81000,1124.68000,1027.64000,1.69000,12.19000,50.74000,144.72000,1056.50000,237.42000,962.43000,988.93000,957.73000,1067.28000,2.16000,50.42000,144.47000,1006.20000,48.37000,54.00000,0.00000,0.00000,0.01000,0.00000,24.20000,0.82000,-0.22000,0.00000,-5.95000,3.90000,0.00000,0.00000
0.00000,812.80000,749.10000,836.90000,29.84000,268.66000,1026.61000,1056.58000,1124.39000,1025.70000,1.69000,12.14000,50.88000,144.69000,1060.80000,237.81000,964.85000,988.97000,956.88000,1070.70000,2.30000,50.38000,144.46000,1008.90000,48.26000,54.00000,0.00000,0.00000,-0.01000,0.01000,24.20000,0.82000,-0.21000,0.00000,-15.50000,3.90000,0.00000,0.00000
0.00000,813.80000,748.60000,836.50000,29.84000,268.95000,1026.96000,1053.72000,1121.25000,1025.86000,1.70000,12.11000,50.93000,144.73000,1058.20000,238.18000,965.38000,987.03000,956.05000,1076.69000,2.23000,50.39000,144.43000,1006.10000,48.14000,54.00000,0.00000,0.00000,-0.00000,0.01000,24.20000,0.82000,-0.20000,0.00000,-7.55000,0.00000,0.00000,0.00000
0.00000,812.80000,748.00000,835.80000,29.84000,269.29000,1029.25000,1050.81000,1117.23000,1028.03000,1.68000,12.13000,50.85000,144.68000,1053.20000,238.54000,962.08000,986.15000,954.96000,1081.74000,2.15000,50.42000,144.39000,1007.00000,48.10000,54.00000,0.00000,0.00000,0.00000,-0.00000,24.20000,0.83000,-0.19000,0.00000,-15.15000,0.00000,0.00000,0.00000
0.00000,812.80000,747.40000,835.20000,29.84000,269.62000,1031.17000,1049.29000,1120.70000,1028.45000,1.66000,12.15000,50.82000,144.64000,1051.50000,238.94000,960.34000,988.39000,956.27000,1077.92000,2.08000,50.51000,144.34000,1012.60000,48.16000,54.00000,0.00000,0.00000,0.00000,0.00000,24.20000,0.83000,-0.19000,0.00000,-15.97000,0.00000,0.00000,0.00000
0.00000,812.80000,748.10000,835.90000,29.84000,269.95000,1032.27000,1047.81000,1121.72000,1027.70000,1.63000,12.14000,50.93000,144.65000,1060.10000,239.30000,960.13000,990.00000,956.82000,1076.71000,2.06000,50.52000,144.30000,1015.40000,48.17000,54.00000,0.00000,0.00000,0.00000,0.00000,24.20000,0.82000,-0.19000,0.00000,-16.00000,0.00000,0.00000,0.00000
0.00000,812.80000,748.20000,836.00000,29.84000,270.24000,1031.31000,1047.90000,1121.59000,1027.12000,1.71000,12.15000,50.96000,144.58000,1061.20000,239.67000,960.28000,990.44000,955.32000,1071.12000,2.09000,50.65000,144.27000,1020.80000,48.12000,54.00000,0.00000,0.00000,0.01000,0.01000,24.20000,0.80000,-0.18000,0.00000,-6.79000,0.00000,0.00000,0.00000
0.00000,812.80000,748.20000,836.00000,29.84000,270.54000,1032.30000,1046.36000,1124.23000,1026.40000,1.71000,12.15000,50.95000,144.57000,1057.50000,240.01000,959.64000,988.18000,954.42000,1067.02000,2.13000,50.63000,144.26000,1016.40000,48.14000,54.00000,0.00000,0.00000,0.01000,0.01000,24.20000,0.80000,-0.19000,0.00000,-2.86000,0.00000,0.00000,0.00000
0.00000,812.80000,748.20000,836.00000,29.84000,270.92000,1031.64000,1044.31000,1119.62000,1029.72000,1.73000,12.09000,51.10000,144.56000,1063.70000,240.40000,957.66000,987.34000,956.91000,1062.49000,2.27000,50.68000,144.24000,1023.50000,48.13000,54.00000,0.00000,0.00000,0.01000,0.00000,24.20000,0.79000,-0.20000,0.00000,-15.19000,0.00000,0.00000,0.00000
0.00000,812.80000,748.90000,836.70000,29.84000,271.23000,1031.18000,1044.61000,1115.24000,1032.22000,1.71000,12.10000,51.02000,144.50000,1059.20000,240.78000,956.51000,988.54000,960.73000,1056.20000,2.28000,50.66000,144.22000,1018.60000,48.03000,54.00000,0.00000,0.00000,-0.00000,0.01000,24.20000,0.79000,-0.19000,0.00000,-15.19000,3.90000,0.00000,0.00000
1.00000,812.80000,749.40000,837.20000,29.84000,271.55000,1030.75000,1044.66000,1116.78000,1036.53000,1.71000,12.17000,50.72000,144.51000,1053.60000,241.16000,955.88000,987.95000,963.55000,1052.71000,2.15000,50.66000,144.21000,1016.50000,48.11000,54.00000,0.00000,0.00000,0.01000,0.01000,24.20000,0.78000,-0.19000,0.00000,-13.99000,3.90000,0.00000,0.00000
0.00000,812.80000,748.70000,836.60000,29.84000,271.82000,1031.75000,1044.51000,1119.54000,1037.77000,1.67000,12.18000,50.85000,144.49000,1059.80000,241.51000,956.00000,989.43000,965.53000,1051.58000,2.06000,50.52000,144.21000,1004.10000,48.13000,54.00000,0.00000,0.00000,0.00000,0.00000,24.20000,0.78000,-0.20000,0.00000,-15.92000,0.00000,0.00000,0.00000
