#AfcsOn,AltAGL,AltB,AltGPS,AltMSL,AltMSL Lag Diff,amp1,BaroA,COM1,COM2,CRS,E1 CHT1,E1 EGT Variance,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 MAP,E1 OilP,E1 OilT,E1 RPM,E2 CHT1,E2 EGT Variance,E2 EGT1,E2 EGT2,E2 EGT3,E2 EGT4,E2 FFlow,E2 MAP,E2 OilP,E2 OilT,E2 RPM,FQtyL,FQtyR,GndSpd,HCDI,HDG,HPLfd,HPLwas,IAS,LatAc,Latitude,Longitude,MagVar,NAV1,NAV2,NormAc,OAT,PichC,Pitch,Roll,RollC,TAS,Total Fuel,TRK,volt1,VPLwas,VSpd,VSpdG,WndDr,WndSpd
#bool,ft agl,ft Baro,ft wgs,ft msl,ft msl,amps,inch,MHz,MHz,deg,deg F,deg F,deg F,deg F,deg F,deg F,gph,Hg,psi,deg F,rpm,deg F,deg F,deg F,deg F,deg F,deg F,gph,Hg,psi,deg F,rpm,gals,gals,kt,fsd,deg,mt,mt,kt,G,degrees,degrees,deg,MHz,MHz,G,deg C,deg,deg,deg,deg,kt,gals,deg,volts,mt,fpm,fpm,deg,kt
0.0,1.0,813.8,749.5,837.3,-1.400000000000091,2.5,29.84,132.3,119.4,116.9,265.96,94.44000000000005,1025.95,1057.44,1120.39,1028.02,1.68,12.12,50.87,144.93,1058.5,234.59,111.50999999999999,955.78,991.59,959.16,1067.29,2.14,12.98,50.64,144.69,1024.0,48.25,54.0,0.0,NaN,357.9,65.5,NaN,0.0,0.01,47.9500885,-97.1727371,3.1,109.15,109.1,0.0,24.2,NaN,0.8,-0.21,NaN,0.0,102.25,266.4,27.8,NaN,-5.78,3.9,NaN,NaN
0.0,1.0,813.8,749.5,837.3,-1.1000000000000227,2.6,29.84,132.3,119.4,116.9,266.31,94.29999999999995,1023.69,1059.14,1117.99,1028.33,1.65,12.1,50.82,144.88,1061.4,235.04,105.11000000000013,956.79,991.41,959.06,1061.9,2.08,12.96,50.62,144.66,1016.0,48.17,54.0,0.0,NaN,357.9,65.5,NaN,0.0,0.01,47.9500885,-97.1727371,3.1,109.15,109.1,-0.01,24.2,NaN,0.8,-0.22,NaN,0.0,102.17,266.4,27.8,NaN,-13.87,3.9,NaN,NaN
0.0,1.0,813.8,749.6,837.4,-1.3000000000000682,2.6,29.84,132.3,119.4,116.9,266.62,91.47999999999979,1024.39,1058.44,1115.87,1028.16,1.63,12.11,50.78,144.88,1059.7,235.42,104.53999999999996,954.71,990.88,961.83,1059.25,2.09,12.98,50.59,144.64,1012.4,48.19,54.0,0.0,NaN,357.9,65.5,NaN,0.0,0.01,47.9500885,-97.1727371,3.1,109.15,109.1,0.0,24.2,NaN,0.81,-0.23,NaN,0.0,102.19,266.4,27.8,NaN,-10.33,3.9,NaN,NaN
0.0,1.0,813.8,749.4,837.2,-1.099999999999909,2.5,29.84,132.3,119.4,116.9,266.99,89.16000000000008,1024.11,1058.67,1113.27,1029.19,1.63,12.12,50.89,144.8,1059.3,235.83,104.86000000000001,956.07,991.13,964.04,1060.93,2.18,13.08,50.44,144.63,1010.8,48.25,54.0,0.0,NaN,357.9,65.5,NaN,0.0,-0.0,47.9500885,-97.1727371,3.1,109.15,109.1,0.0,24.2,NaN,0.81,-0.21,NaN,0.0,102.25,266.4,27.8,NaN,-14.49,3.9,NaN,NaN
0.0,1.0,813.8,749.7,837.5,-0.7000000000000455,2.6,29.84,132.3,119.4,116.9,267.34,90.99000000000001,1024.34,1059.37,1115.33,1029.14,1.64,12.16,50.82,144.78,1054.4,236.23,105.62,954.87,991.01,963.78,1060.49,2.24,13.01,50.52,144.61,1013.3,48.21,54.0,0.0,NaN,357.9,65.5,NaN,0.0,0.01,47.9500885,-97.1727371,3.1,109.15,109.1,0.01,24.2,NaN,0.81,-0.22,NaN,0.0,102.21000000000001,266.4,27.7,NaN,-15.94,3.9,NaN,NaN
0.0,0.0,813.8,748.9,836.8,-1.0,2.5,29.84,118.4,119.4,116.9,267.71,89.27999999999997,1027.45,1059.4,1116.73,1028.73,1.65,12.2,50.72,144.75,1047.4,236.66,103.74000000000001,956.8,989.08,962.34,1060.54,2.12,13.03,50.44,144.57,1010.6,48.24,54.0,0.0,NaN,357.9,65.5,NaN,0.0,0.01,47.9500885,-97.1727371,3.1,109.15,109.1,0.0,24.2,NaN,0.81,-0.22,NaN,0.0,102.24000000000001,266.4,27.7,NaN,-3.43,3.9,NaN,NaN
0.0,0.0,813.8,748.6,836.5,-1.2000000000000455,2.5,29.84,118.4,124.575,116.9,268.01,90.79999999999995,1028.78,1058.68,1117.94,1027.14,1.66,12.17,50.76,144.75,1047.0,237.06,104.1400000000001,958.8,989.24,960.27,1062.94,2.08,13.07,50.44,144.54,1003.2,48.29,54.0,0.0,NaN,357.9,65.5,NaN,0.0,0.0,47.9500885,-97.1727371,3.1,109.15,109.1,0.01,24.2,NaN,0.81,-0.22,NaN,0.0,102.28999999999999,266.4,27.7,NaN,-0.13,3.9,NaN,NaN
0.0,0.0,813.8,748.4,836.2,-1.3999999999999773,2.4,29.84,118.4,124.575,116.9,268.31,98.59000000000015,1026.09,1057.81,1124.68,1027.64,1.69,12.19,50.74,144.72,1056.5,237.42,109.54999999999995,962.43,988.93,957.73,1067.28,2.16,13.09,50.42,144.47,1006.2,48.37,54.0,0.0,NaN,358.0,65.5,NaN,0.0,0.01,47.9500885,-97.1727371,3.1,109.15,109.1,0.0,24.2,NaN,0.82,-0.22,NaN,0.0,102.37,266.4,27.7,NaN,-5.95,3.9,NaN,NaN
0.0,0.0,812.8,749.1,836.9,-0.3000000000000682,2.5,29.84,118.4,124.575,116.9,268.66,98.69000000000005,1026.61,1056.58,1124.39,1025.7,1.69,12.14,50.88,144.69,1060.8,237.81,113.82000000000005,964.85,988.97,956.88,1070.7,2.3,13.12,50.38,144.46,1008.9,48.26,54.0,0.0,NaN,357.9,63.0,NaN,0.0,-0.01,47.9500885,-97.1727295,3.1,109.15,109.1,0.01,24.2,NaN,0.82,-0.21,NaN,0.0,102.25999999999999,266.4,27.7,NaN,-15.5,3.9,NaN,NaN
0.0,0.0,813.8,748.6,836.5,-1.0,2.5,29.84,118.4,124.575,116.9,268.95,95.3900000000001,1026.96,1053.72,1121.25,1025.86,1.7,12.11,50.93,144.73,1058.2,238.18,120.6400000000001,965.38,987.03,956.05,1076.69,2.23,13.12,50.39,144.43,1006.1,48.14,54.0,0.0,NaN,358.0,61.5,NaN,0.0,-0.0,47.9500885,-97.1727219,3.1,109.15,109.1,0.01,24.2,NaN,0.82,-0.2,NaN,0.0,102.14,266.4,27.7,NaN,-7.55,0.0,NaN,NaN
