#AfcsOn,AltAGL,AltB,AltGPS,AltMSL,AltMSL Lag Diff,amp1,BaroA,COM1,COM2,CRS,E1 CHT1,E1 EGT Variance,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 MAP,E1 OilP,E1 OilT,E1 RPM,E2 CHT1,E2 EGT Variance,E2 EGT1,E2 EGT2,E2 EGT3,E2 EGT4,E2 FFlow,E2 MAP,E2 OilP,E2 OilT,E2 RPM,FQtyL,FQtyR,GndSpd,HAL,HCDI,HDG,HPLfd,HPLwas,IAS,LatAc,Latitude,Longitude,MagVar,NormAc,OAT,PichC,Pitch,Roll,RollC,TAS,Total Fuel,TRK,volt1,VPLwas,VSpd,VSpdG,WndDr,WndSpd,WptBrg,WptDst
#bool,ft agl,ft Baro,ft wgs,ft msl,ft msl,amps,inch,MHz,MHz,deg,deg F,deg F,deg F,deg F,deg F,deg F,gph,Hg,psi,deg F,rpm,deg F,deg F,deg F,deg F,deg F,deg F,gph,Hg,psi,deg F,rpm,gals,gals,kt,mt,fsd,deg,mt,mt,kt,G,degrees,degrees,deg,G,deg C,deg,deg,deg,deg,kt,gals,deg,volts,mt,fpm,fpm,deg,kt,deg,nm
0.0,4.0,862.5,752.9,840.8,0.09999999999990905,3.4,29.83,120.55,119.4,176.0,245.59,115.36999999999989,1040.94,1084.84,1156.31,1054.94,1.89,12.22,52.58,133.12,1093.7,220.91,69.16000000000008,999.31,1027.89,1021.56,1068.47,1.91,12.9,53.65,131.74,1119.0,53.64,54.0,0.0,3704.0,NaN,176.6,20.0,12.0,0.0,0.0,47.9500923,-97.1734619,3.1,-0.0,32.2,NaN,1.58,-0.21,NaN,0.0,107.64,266.9,27.6,20.0,-15.87,0.0,NaN,NaN,NaN,NaN
0.0,4.0,863.5,753.0,840.8,0.09999999999990905,3.3,29.83,120.55,119.4,176.0,246.12,115.37999999999988,1039.97,1084.42,1155.35,1057.06,1.86,12.27,52.52,133.07,1091.7,221.46,65.18000000000006,1000.47,1028.88,1021.95,1065.65,1.97,12.93,53.63,131.72,1116.8,53.66,54.0,0.0,3704.0,NaN,176.6,20.5,12.0,0.0,-0.0,47.9500923,-97.1734619,3.1,-0.0,32.2,NaN,1.58,-0.2,NaN,0.0,107.66,266.9,27.6,20.0,-1.35,0.0,NaN,NaN,NaN,NaN
0.0,4.0,863.5,752.9,840.7,-0.1999999999999318,3.2,29.83,120.55,119.4,176.0,246.65,112.64999999999986,1038.71,1085.13,1151.36,1058.69,1.84,12.24,52.62,133.11,1098.9,222.05,62.129999999999995,1000.65,1028.27,1022.46,1062.78,1.96,12.93,53.63,131.73,1114.5,53.55,54.0,0.0,3704.0,NaN,176.6,20.5,12.0,0.0,0.0,47.9500923,-97.1734619,3.1,0.0,32.2,NaN,1.59,-0.21,NaN,0.0,107.55,266.9,27.6,20.0,-0.04,0.0,NaN,NaN,NaN,NaN
0.0,4.0,863.5,752.9,840.7,-0.5,3.3,29.83,120.55,119.4,176.0,247.12,110.37000000000012,1037.07,1086.56,1147.44,1058.19,1.83,12.18,52.69,133.09,1100.2,222.65,56.07000000000005,1003.58,1027.34,1021.76,1059.65,1.97,12.91,53.61,131.74,1119.6,53.46,54.0,0.0,3704.0,NaN,176.6,20.5,12.0,0.0,0.01,47.9500923,-97.1734619,3.1,-0.0,32.2,NaN,1.59,-0.21,NaN,0.0,107.46000000000001,266.9,27.6,20.0,-0.0,0.0,NaN,NaN,NaN,NaN
0.0,4.0,863.5,753.0,840.8,0.1999999999999318,3.3,29.83,120.55,119.4,176.0,247.64,111.75,1035.8,1087.9,1147.55,1057.1,1.84,12.17,52.64,133.04,1096.5,223.16,52.629999999999995,1005.38,1025.07,1020.13,1058.01,1.99,12.9,53.66,131.69,1117.7,53.44,54.0,0.0,3704.0,NaN,176.6,20.5,12.0,0.0,-0.01,47.9500923,-97.1734619,3.1,0.01,32.2,NaN,1.59,-0.22,NaN,0.0,107.44,266.9,27.6,20.0,10.07,0.0,NaN,NaN,NaN,NaN
0.0,4.0,863.5,752.8,840.6,0.0,3.2,29.83,120.55,119.4,176.0,248.1,108.54000000000019,1037.1,1090.28,1145.64,1055.8,1.83,12.2,52.49,133.06,1100.4,223.72,53.04000000000008,1004.67,1025.02,1019.51,1057.71,1.97,12.94,53.65,131.73,1115.7,53.56,54.0,0.0,3704.0,NaN,176.6,20.0,12.0,0.0,0.0,47.9500923,-97.1734619,3.1,-0.0,32.2,NaN,1.59,-0.22,NaN,0.0,107.56,266.9,27.6,20.0,0.67,0.0,NaN,NaN,NaN,NaN
0.0,3.0,863.5,751.7,839.5,-1.0,3.2,29.83,120.55,119.4,176.0,248.54,105.49000000000001,1036.16,1090.57,1141.65,1055.27,1.79,12.18,52.52,133.09,1099.0,224.29,52.239999999999895,1004.08,1025.84,1020.6,1056.32,1.94,12.94,53.57,131.7,1113.8,53.6,54.0,0.0,3704.0,NaN,176.6,20.0,12.0,0.0,0.0,47.9500923,-97.1734619,3.1,0.0,32.2,NaN,1.59,-0.22,NaN,0.0,107.6,266.9,27.6,20.0,0.02,0.0,NaN,NaN,NaN,NaN
0.0,3.0,863.5,751.6,839.5,-0.7999999999999545,3.2,29.83,120.55,119.4,176.0,249.02,104.73000000000002,1036.02,1092.86,1140.75,1055.17,1.85,12.21,52.45,133.02,1096.1,224.83,55.26999999999998,1003.77,1025.26,1023.7,1059.04,1.94,12.95,53.55,131.69,1108.8,53.61,54.0,0.0,3704.0,NaN,176.6,20.0,12.0,0.0,0.0,47.9500923,-97.1734619,3.1,0.0,32.2,NaN,1.59,-0.23,NaN,0.0,107.61,266.9,27.5,20.0,-13.83,3.9,NaN,NaN,NaN,NaN
0.0,3.0,863.5,751.5,839.3,-0.7000000000000455,3.3,29.83,120.55,119.4,176.0,249.51,104.51999999999998,1035.43,1092.14,1139.95,1056.87,1.88,12.24,52.53,132.99,1094.6,225.37,60.499999999999886,1003.07,1024.94,1023.69,1063.57,1.92,12.98,53.53,131.69,1114.1,53.64,54.0,0.0,3704.0,NaN,176.6,20.0,12.0,0.0,0.0,47.9500923,-97.1734619,3.1,-0.0,32.2,NaN,1.59,-0.22,NaN,0.0,107.64,266.9,27.6,20.0,-15.93,0.0,NaN,NaN,NaN,NaN
0.0,2.0,863.5,751.1,838.9,-0.8999999999999773,3.3,29.83,120.55,119.4,176.0,250.05,106.48000000000002,1036.41,1092.03,1142.89,1057.46,1.85,12.23,52.35,133.04,1100.6,225.91,57.879999999999995,1003.17,1024.95,1022.07,1061.05,1.92,12.93,53.64,131.67,1115.5,53.64,54.0,0.0,3704.0,NaN,176.6,20.0,12.0,0.0,0.01,47.9500923,-97.1734619,3.1,0.01,32.2,NaN,1.59,-0.21,NaN,0.0,107.64,266.9,27.6,20.0,-16.0,0.0,NaN,NaN,NaN,NaN
0.0,2.0,863.5,750.7,838.5,-2.2999999999999545,3.2,29.83,120.55,119.4,176.0,250.48,110.45000000000005,1035.02,1091.56,1145.47,1059.39,1.87,12.19,52.39,133.02,1090.0,226.46,59.10000000000002,1003.58,1025.43,1022.05,1062.68,1.96,12.92,53.59,131.69,1116.2,53.59,54.0,0.0,3704.0,NaN,176.6,20.0,12.0,0.0,0.0,47.9500923,-97.1734619,3.1,-0.0,32.2,NaN,1.59,-0.22,NaN,0.0,107.59,266.9,27.6,20.0,-16.0,0.0,NaN,NaN,NaN,NaN
0.0,2.0,863.5,750.6,838.5,-2.2999999999999545,3.1,29.83,120.55,119.4,176.0,250.98,115.96000000000004,1036.7,1092.11,1152.66,1059.38,1.91,12.23,52.49,132.99,1096.5,226.95,61.02999999999997,1003.76,1025.07,1021.85,1064.79,1.93,12.92,53.66,131.67,1117.9,53.54,54.0,0.0,3704.0,NaN,176.6,20.0,12.0,0.0,0.01,47.9500923,-97.1734619,3.1,0.0,32.2,NaN,1.6,-0.21,NaN,0.0,107.53999999999999,266.9,27.5,20.0,-15.87,0.0,NaN,NaN,NaN,NaN
0.0,3.0,863.5,751.5,839.3,-1.400000000000091,3.2,29.83,120.55,119.4,176.0,251.43,114.41000000000008,1037.8,1090.94,1152.21,1057.98,1.89,12.2,52.49,132.99,1098.3,227.52,58.250000000000114,1006.16,1024.93,1023.66,1064.41,1.94,12.92,53.72,131.63,1120.8,53.53,54.0,0.0,3704.0,NaN,176.6,20.0,12.0,0.0,0.01,47.9500923,-97.1734619,3.1,-0.01,32.2,NaN,1.6,-0.21,NaN,0.0,107.53,266.9,27.5,20.0,-1.35,3.9,NaN,NaN,NaN,NaN
0.0,3.0,863.5,751.5,839.3,-1.400000000000091,3.2,29.83,120.55,119.4,176.0,251.94,108.25999999999999,1041.74,1089.22,1150.0,1055.68,1.93,12.2,52.54,133.01,1098.2,228.03,51.27999999999997,1011.75,1025.07,1026.92,1063.03,1.94,12.93,53.61,131.67,1116.5,53.52,54.0,0.0,3704.0,NaN,176.6,20.0,12.0,0.0,0.01,47.9500961,-97.1734619,3.1,0.01,32.2,NaN,1.6,-0.2,NaN,0.0,107.52000000000001,266.9,27.6,20.0,-0.04,0.0,NaN,NaN,NaN,NaN
0.0,3.0,863.5,751.5,839.3,-1.5,3.2,29.83,120.55,119.4,176.0,252.34,103.88999999999987,1044.96,1089.6,1148.85,1056.04,1.97,12.22,52.62,132.91,1101.4,228.54,49.85000000000002,1012.62,1026.2,1029.31,1062.47,1.94,12.92,53.65,131.61,1118.1,53.57,54.0,0.0,3704.0,NaN,176.5,20.0,12.0,0.0,0.01,47.9500961,-97.1734619,3.1,0.0,32.2,NaN,1.59,-0.2,NaN,0.0,107.57,266.9,27.6,20.0,-0.0,0.0,NaN,NaN,NaN,NaN
0.0,3.0,863.5,751.7,839.5,-1.1000000000000227,3.2,29.83,120.55,119.4,176.0,252.81,103.84999999999991,1043.88,1089.17,1147.73,1055.97,1.94,12.18,52.76,132.99,1109.4,229.06,53.91000000000008,1011.47,1026.64,1028.04,1065.38,1.97,12.94,53.72,131.6,1120.5,53.56,54.0,0.0,3704.0,NaN,176.5,20.0,12.0,0.0,0.0,47.9500961,-97.1734619,3.1,-0.0,32.2,NaN,1.58,-0.2,NaN,0.0,107.56,266.9,27.6,20.0,-0.0,0.0,NaN,NaN,NaN,NaN
0.0,4.0,863.5,752.2,840.0,0.5,3.1,29.83,120.55,119.4,176.0,253.28,106.43000000000006,1041.01,1087.41,1147.44,1057.5,1.9,12.17,52.69,132.92,1104.1,229.54,53.74000000000001,1011.26,1028.21,1027.62,1065.0,1.96,12.91,53.66,131.64,1121.7,53.49,54.0,0.0,3704.0,NaN,176.5,20.0,12.0,0.0,0.0,47.9500923,-97.1734772,3.1,0.01,32.2,NaN,1.59,-0.2,NaN,0.0,107.49000000000001,266.9,27.5,20.0,-9.05,0.0,NaN,NaN,NaN,NaN
0.0,4.0,863.5,752.2,840.0,0.5,3.2,29.83,120.55,119.4,176.0,253.73,112.76999999999998,1038.22,1086.1,1150.99,1059.91,1.85,12.18,52.66,132.91,1103.5,230.0,53.76999999999998,1009.74,1027.21,1029.28,1063.51,1.95,12.9,53.81,131.61,1126.1,53.55,54.0,0.0,3704.0,NaN,176.5,19.5,12.0,0.0,0.0,47.9500923,-97.1734772,3.1,0.0,32.2,NaN,1.57,-0.21,NaN,0.0,107.55,266.9,27.5,20.0,-15.7,0.0,NaN,NaN,NaN,NaN
0.0,3.0,864.5,751.6,839.4,0.10000000000002274,3.2,29.83,120.55,119.4,176.0,254.17,112.46000000000004,1037.84,1087.57,1150.3,1060.48,1.8,12.16,52.83,132.93,1109.5,230.54,49.32999999999993,1012.49,1027.47,1031.76,1061.82,1.97,12.86,53.87,131.6,1132.1,53.58,54.0,0.0,3704.0,NaN,176.5,19.5,12.0,0.0,0.0,47.9500923,-97.1734619,3.1,0.0,32.2,NaN,1.58,-0.21,NaN,0.0,107.58,266.9,27.6,20.0,-2.53,0.0,NaN,NaN,NaN,NaN
0.0,3.0,864.5,751.7,839.5,0.6000000000000227,3.1,29.83,120.55,119.4,176.0,254.67,115.61999999999989,1036.63,1088.15,1152.25,1061.64,1.78,12.17,52.69,132.87,1106.3,231.06,46.65000000000009,1012.75,1027.69,1033.68,1059.4,1.97,12.77,53.99,131.6,1135.5,53.55,54.0,0.0,3704.0,NaN,176.5,20.0,12.0,0.0,0.0,47.9500923,-97.1734619,3.1,0.01,32.2,NaN,1.58,-0.2,NaN,0.0,107.55,266.9,27.6,20.0,-0.09,0.0,NaN,NaN,NaN,NaN
0.0,3.0,864.5,751.9,839.7,1.2000000000000455,3.1,29.83,120.55,119.4,176.0,255.08,115.28999999999996,1037.55,1088.55,1152.84,1062.41,1.81,12.16,52.59,132.96,1104.6,231.53,46.23000000000013,1013.66,1028.01,1033.21,1059.89,1.96,12.81,53.92,131.6,1136.0,53.58,54.0,0.0,3704.0,NaN,176.5,20.0,12.0,0.0,0.01,47.9500923,-97.1734619,3.1,-0.0,32.2,NaN,1.56,-0.2,NaN,0.0,107.58,266.9,27.5,20.0,-0.0,0.0,NaN,NaN,NaN,NaN
0.0,3.0,863.5,752.0,839.8,1.2999999999999545,3.1,29.83,120.55,119.4,176.0,255.55,113.3900000000001,1038.31,1090.15,1151.7,1062.23,1.79,12.15,52.63,132.87,1105.7,232.02,46.37999999999988,1014.48,1029.32,1032.51,1060.86,1.95,12.79,53.94,131.64,1134.8,53.59,54.0,0.0,3704.0,NaN,176.5,20.0,12.0,0.0,0.0,47.9500923,-97.1734619,3.1,0.0,32.2,NaN,1.56,-0.2,NaN,0.0,107.59,266.9,27.5,20.0,-4.8,0.0,NaN,NaN,NaN,NaN
0.0,3.0,864.5,751.4,839.2,-0.09999999999990905,3.1,29.83,120.55,119.4,176.0,255.93,113.47000000000003,1039.19,1089.8,1152.66,1063.62,1.8,12.21,52.36,132.9,1096.0,232.48,48.61000000000013,1014.54,1029.95,1032.03,1063.15,1.91,12.85,53.8,131.64,1126.9,53.62,54.0,0.0,3704.0,NaN,176.5,20.0,12.0,0.0,0.0,47.9500923,-97.1734619,3.1,0.0,32.2,NaN,1.58,-0.19,NaN,0.0,107.62,266.9,27.6,20.0,-1.58,0.0,NaN,NaN,NaN,NaN
0.0,3.0,864.5,751.3,839.1,-0.1999999999999318,3.2,29.83,120.55,119.4,176.0,256.41,120.73000000000002,1039.84,1088.41,1160.57,1064.09,1.82,12.31,52.23,132.9,1082.3,232.97,53.17999999999995,1012.14,1029.52,1030.9,1065.32,1.91,12.85,53.84,131.64,1131.1,53.6,54.0,0.0,3704.0,NaN,176.5,20.0,12.0,0.0,0.01,47.9500923,-97.1734619,3.1,0.01,32.2,NaN,1.57,-0.19,NaN,0.0,107.6,266.9,27.6,20.0,-0.06,0.0,NaN,NaN,NaN,NaN
0.0,4.0,863.5,752.2,840.0,0.7000000000000455,3.0,29.83,120.55,119.4,176.0,256.83,130.71000000000004,1039.96,1087.97,1170.67,1062.71,1.82,12.34,52.33,132.89,1092.3,233.45,54.32000000000005,1008.85,1028.34,1029.4,1063.17,1.94,12.87,53.89,131.61,1132.5,53.62,54.0,0.0,3704.0,NaN,176.5,20.0,12.0,0.0,-0.0,47.9500923,-97.1734619,3.1,-0.0,32.2,NaN,1.56,-0.19,NaN,0.0,107.62,266.9,27.5,20.0,-14.42,0.0,NaN,NaN,NaN,NaN
0.0,4.0,863.5,752.4,840.2,0.7000000000000455,2.9,29.83,120.55,119.4,176.0,257.22,126.48000000000002,1042.17,1087.24,1168.65,1063.06,1.82,12.27,52.43,132.81,1100.8,233.95,52.55000000000007,1007.35,1028.44,1030.33,1059.9,1.94,12.88,53.83,131.6,1126.2,53.63,54.0,0.0,3704.0,NaN,176.5,20.0,12.0,0.0,0.0,47.9500923,-97.1734619,3.1,0.0,32.2,NaN,1.56,-0.18,NaN,0.0,107.63,266.9,27.5,20.0,-17.09,0.0,NaN,NaN,NaN,NaN
0.0,4.0,863.5,752.5,840.3,0.2999999999999545,3.1,29.83,120.55,119.4,176.0,257.7,123.52000000000021,1042.86,1088.37,1166.38,1063.49,1.82,12.28,52.35,132.82,1090.5,234.38,56.25999999999999,1005.78,1031.94,1030.0,1062.04,1.95,12.94,53.65,131.65,1114.9,53.64,54.0,0.0,3704.0,NaN,176.5,20.0,12.0,0.0,0.01,47.9500923,-97.1734619,3.1,0.0,32.2,NaN,1.55,-0.18,NaN,0.0,107.64,266.9,27.5,20.0,-23.12,0.0,NaN,NaN,NaN,NaN
0.0,4.0,863.5,752.6,840.4,0.39999999999997726,3.1,29.83,120.55,119.4,176.0,258.14,125.80999999999995,1043.75,1091.74,1169.56,1064.16,1.81,12.3,52.48,132.87,1095.5,234.87,64.04000000000008,1006.89,1033.31,1026.82,1070.93,1.97,13.01,53.42,131.6,1106.0,53.6,54.0,0.0,3704.0,NaN,176.5,20.0,12.0,0.0,0.0,47.9500923,-97.1734619,3.1,0.0,32.2,NaN,1.56,-0.18,NaN,0.0,107.6,266.9,27.5,20.0,-16.4,0.0,NaN,NaN,NaN,NaN
0.0,5.0,863.5,753.4,841.2,1.8000000000000682,3.1,29.83,120.55,119.4,176.0,258.51,124.27999999999997,1043.82,1090.59,1168.1,1064.06,1.81,12.23,52.71,132.87,1104.0,235.34,66.95000000000005,1008.06,1032.73,1024.51,1075.01,1.92,13.01,53.54,131.63,1115.5,53.57,54.0,0.0,3704.0,NaN,176.5,20.0,12.0,0.0,-0.0,47.9500923,-97.1734772,3.1,0.0,32.2,NaN,1.56,-0.18,NaN,0.0,107.57,266.9,27.5,20.0,-11.83,3.9,NaN,NaN,NaN,NaN
0.0,5.0,863.5,753.7,841.5,2.0,3.1,29.83,120.55,119.4,176.0,259.01,121.98000000000002,1042.71,1092.79,1164.69,1062.64,1.83,12.21,52.59,132.85,1104.0,235.78,68.75999999999988,1004.61,1032.09,1024.92,1073.37,1.93,13.02,53.56,131.62,1115.9,53.58,54.0,0.0,3704.0,NaN,176.4,20.0,12.0,0.0,-0.0,47.9500923,-97.1734772,3.1,0.01,32.2,NaN,1.56,-0.16,NaN,0.0,107.58,266.9,27.5,20.0,-10.32,0.0,NaN,NaN,NaN,NaN
