Wind_turbine_name,Min_since_last,Date_time,Ba_avg,Ba_min,Ba_max,Ba_std,Rt_avg,Rt_min,Rt_max,Rt_std,DCs_avg,DCs_min,DCs_max,DCs_std,Cm_avg,Cm_min,Cm_max,Cm_std,P_avg,P_min,P_max,P_std,Q_avg,Q_min,Q_max,Q_std,S_avg,S_min,S_max,S_std,Cosphi_avg,Cosphi_min,Cosphi_max,Cosphi_std,Ds_avg,Ds_min,Ds_max,Ds_std,Db1t_avg,Db1t_min,Db1t_max,Db1t_std,Db2t_avg,Db2t_min,Db2t_max,Db2t_std,Dst_avg,Dst_min,Dst_max,Dst_std,Gb1t_avg,Gb1t_min,Gb1t_max,Gb1t_std,Gb2t_avg,Gb2t_min,Gb2t_max,Gb2t_std,Git_avg,Git_min,Git_max,Git_std,Gost_avg,Gost_min,Gost_max,Gost_std,Ya_avg,Ya_min,Ya_max,Ya_std,Yt_avg,Yt_min,Yt_max,Yt_std,Ws1_avg,Ws1_min,Ws1_max,Ws1_std,Ws2_avg,Ws2_min,Ws2_max,Ws2_std,Ws_avg,Ws_min,Ws_max,Ws_std,Wa_avg,Wa_min,Wa_max,Wa_std,Va1_avg,Va1_min,Va1_max,Va1_std,Va2_avg,Va2_min,Va2_max,Va2_std,Va_avg,Va_min,Va_max,Va_std,Ot_avg,Ot_min,Ot_max,Ot_std,Nf_avg,Nf_min,Nf_max,Nf_std,Nu_avg,Nu_min,Nu_max,Nu_std,Rs_avg,Rs_min,Rs_max,Rs_std,Rbt_avg,Rbt_min,Rbt_max,Rbt_std
R80711,,2017-06-11T00:10:00+02:00,-0.99,-0.99,-0.99,0.0,29.0,29.0,29.0,0.0,1235.03,1198.06,1259.85,17.52,1703.03,1575.72,1802.41,52.68,190.59,166.86,207.05,10.4,15.27,7.27,19.2,1.79,191.23,167.32,207.63,10.34,0.99,1.0,0.99,0.0,1233.78,1196.89,1258.59,17.51,44.57,43.6,45.6,0.49,41.85,41.0,42.5,0.33,60.03,58.45,62.25,0.63,61.07,60.7,61.5,0.17,59.26,59.0,59.7,0.15,49.96,49.25,50.55,0.25,49.92,49.55,50.5,0.22,100.97,100.97,100.97,0.0,34.05,33.8,34.35,0.16,5.62,4.5600000000000005,6.69,0.36,5.66,4.5600000000000005,6.83,0.38,5.64,4.6,6.66,0.34,117.54,73.04,141.27,7.69,16.56,-27.94,40.3,7.69,16.56,-27.94,40.3,7.69,,,,,20.86,20.8,21.0,0.08,49.96,49.94,50.0,0.02,701.01,698.97,703.69,1.07,11.75,11.39,11.99,0.17,31.05,31.0,31.2,0.05
R80711,10,2017-06-11T00:20:00+02:00,-0.99,-0.99,-0.99,0.0,29.0,29.0,29.0,0.0,1307.73,1260.39,1355.03,25.42,1925.86,1770.26,2117.67,80.54,236.52,205.52,270.82,17.04,15.26,6.65,18.64,1.76,237.04,206.17,271.04,16.97,1.0,1.0,0.99,0.0,1306.46,1259.14,1353.88,25.44,46.15,45.0,47.4,0.48,43.01,42.3,43.7,0.35000000000000003,61.7,60.1,63.35,0.62,61.93,61.3,62.7,0.35000000000000003,60.56,59.6,61.55,0.55,50.76,50.25,51.45,0.25,50.79,50.2,51.35,0.28,100.97,100.97,100.97,0.0,34.63,34.3,35.1,0.18,5.91,4.62,7.37,0.43,5.9,4.54,7.33,0.44,5.91,4.79,7.24,0.4,114.73,87.36,138.44,7.76,13.76,-13.61,37.47,7.76,13.76,-13.61,37.47,7.76,,,,,20.98,20.8,21.0,0.05,49.98,49.96,50.0,0.01,702.93,701.51,704.48,0.5,12.45,11.99,12.91,0.24,31.26,31.1,31.4,0.08
R80711,10,2017-06-11T00:30:00+02:00,-0.99,-0.99,-0.99,0.0,29.0,29.0,29.0,0.0,1351.01,1318.77,1377.08,13.64,2056.52,1959.97,2147.39,45.2,265.45,241.28,285.4,10.06,14.47,5.55,18.53,1.65,265.87,241.62,285.75,10.04,1.0,1.0,1.0,0.0,1349.76,1317.42,1375.77,13.65,47.75,46.55,49.05,0.49,44.18,43.4,45.0,0.36,63.26,61.45,65.2,0.61,63.16,62.5,63.75,0.30000000000000004,62.13,61.55,62.6,0.27,51.66,51.05,52.5,0.28,51.76,51.1,52.4,0.30000000000000004,100.97,100.97,100.97,0.0,35.32,34.9,35.7,0.16,6.03,4.54,7.29,0.44,5.99,4.86,7.55,0.43,6.01,4.83,7.41,0.39,112.35,63.71,152.03,8.45,11.35,-37.27,51.05,8.45,11.35,-37.27,51.05,8.45,,,,,20.82,20.7,21.0,0.09,49.99,49.96,50.02,0.01,702.79,700.78,704.17,0.49,12.86,12.55,13.12,0.13,31.48,31.3,31.6,0.1
R80711,10,2017-06-11T00:40:00+02:00,-0.99,-0.99,-0.99,0.0,29.0,29.0,29.0,0.0,1327.24,1289.64,1412.23,26.11,1991.21,1854.12,2277.82,87.72,249.67,222.64,314.09,18.83,16.0,9.49,21.0,1.87,250.22,223.11,314.45,18.78,1.0,1.0,0.99,0.0,1325.98,1288.38,1410.92,26.12,49.22,48.1,50.1,0.39,45.26,44.7,45.85,0.26,64.83,63.2,66.7,0.6000000000000001,63.81,63.5,64.1,0.15,62.62,62.4,63.0,0.19,52.42,51.9,52.95,0.23,52.56,52.15,53.1,0.19,100.97,100.97,100.97,0.0,34.44,30.3,36.0,1.9300000000000002,6.06,4.65,7.63,0.54,5.95,4.39,7.74,0.5,6.01,4.7,7.39,0.49,110.52,83.24,139.38,8.46,9.54,-17.74,38.4,8.46,9.54,-17.74,38.4,8.46,,,,,20.62,20.5,20.75,0.09,50.01,49.98,50.02,0.01,703.29,701.65,704.81,0.74,12.63,12.25,13.46,0.25,31.77,31.6,31.85,0.07
R80711,10,2017-06-11T00:50:00+02:00,-0.99,-0.99,-0.99,0.0,29.0,29.0,29.0,0.0,1346.92,1310.27,1385.25,20.99,2063.48,1934.8,2219.83,70.05,263.2,236.1,292.62,14.95,14.95,8.55,18.75,1.94,263.66,236.74,292.98,14.86,1.0,1.0,0.99,0.0,1345.68,1309.02,1384.11,21.0,48.05,46.45,49.7,0.84,44.72,43.8,45.6,0.43,64.44,62.55,66.4,0.76,64.05,63.75,64.3,0.09,63.25,62.9,63.7,0.22,52.96,52.65,53.55,0.18,53.27,52.75,53.6,0.2,100.97,100.97,100.97,0.0,28.43,27.2,30.3,0.87,6.15,4.66,7.39,0.47000000000000003,6.04,4.91,7.23,0.43,6.09,4.96,7.26,0.41000000000000003,111.38,81.82,178.64,9.04,10.4,-19.16,77.67,9.04,10.4,-19.16,77.67,9.04,,,,,20.49,20.4,20.6,0.02,50.0,49.98,50.02,0.01,703.74,702.09,704.95,0.38,12.82,12.46,13.2,0.2,31.8,31.8,31.85,0.01
R80711,10,2017-06-11T01:00:00+02:00,-0.99,-0.99,-0.99,0.0,29.0,28.94,29.0,0.0,1387.32,1312.71,1465.24,49.73,2200.22,1963.34,2461.4,161.7,294.54,236.8,357.45,37.52,13.79,7.13,18.0,1.8900000000000001,294.91,237.0,357.83,37.47,1.0,1.0,1.0,0.0,1386.12,1311.42,1464.15,49.76,45.27,43.7,46.85,0.79,43.24,42.3,44.1,0.42,61.96,59.4,64.5,0.89,64.31,63.95,64.9,0.28,63.88,63.3,64.9,0.44,53.5,53.0,54.4,0.28,53.89,53.45,54.4,0.24,100.97,100.97,100.97,0.0,26.52,25.9,27.2,0.36,6.35,4.8,7.84,0.53,6.26,4.9,7.93,0.51,6.3,5.06,7.85,0.49,111.78,86.27,145.83,7.92,10.81,-14.71,44.86,7.92,10.81,-14.71,44.86,7.92,,,,,20.42,20.2,20.5,0.04,50.0,49.95,50.02,0.02,704.3,702.75,706.6,0.65,13.21,12.48,13.97,0.48,31.8,31.7,31.8,0.0
R80711,10,2017-06-11T01:10:00+02:00,-0.99,-0.99,-0.99,0.0,29.0,28.94,29.0,0.0,1478.43,1413.43,1508.74,18.44,2499.53,2237.6,2618.09,70.56,365.56,308.22,393.49,15.77,13.17,4.12,18.42,2.75,365.83,308.61,393.79,15.71,1.0,1.0,1.0,0.0,1477.29,1412.26,1507.62,18.45,42.79,41.35,44.4,0.68,41.94,41.25,42.6,0.33,59.31,57.2,61.7,0.85,65.63,64.85,66.1,0.34,65.79,64.85,66.3,0.44,54.56,53.9,55.3,0.30000000000000004,54.83,53.35,55.75,0.31,109.07,100.97,113.05,5.6,25.74,25.5,26.0,0.14,6.92,4.85,8.52,0.58,6.6,4.58,8.32,0.56,6.76,4.72,8.31,0.52,112.38,81.27,147.08,8.26,-0.6900000000000001,-31.78,34.03,10.72,-0.6900000000000001,-31.78,34.03,10.72,,,,,20.44,20.2,20.6,0.05,49.96,49.93,49.98,0.01,706.1,705.09,707.1,0.35000000000000003,14.08,13.44,14.38,0.18,31.8,31.7,31.8,0.01
R80711,10,2017-06-11T01:20:00+02:00,-0.99,-0.99,-0.99,0.0,29.0,28.32,29.0,0.04,1473.12,1401.04,1544.78,32.14,2481.13,2172.44,2752.2,124.23,361.44,295.77,426.9,28.51,13.15,5.23,19.65,2.65,361.73,296.45,427.04,28.44,1.0,1.0,1.0,0.0,1471.98,1399.8,1543.64,32.16,40.77,39.5,42.1,0.56,40.94,40.3,41.6,0.29,57.1,54.95,59.0,0.6900000000000001,66.41,66.0,66.95,0.15,66.52,66.2,66.85,0.14,55.38,54.75,56.1,0.25,55.73,55.05,56.4,0.24,113.05,113.05,113.05,0.0,25.26,25.0,25.5,0.16,6.7,4.5600000000000005,8.89,0.75,6.35,4.62,8.31,0.67,6.53,4.63,8.32,0.67,111.91,57.98,153.34,10.24,-1.12,-55.07,40.29,10.24,-1.12,-55.07,40.29,10.24,,,,,20.38,20.2,20.6,0.09,50.0,49.97,50.02,0.01,706.54,704.91,708.27,0.86,14.03,13.33,14.75,0.31,31.8,31.8,31.85,0.0
R80711,10,2017-06-11T01:30:00+02:00,-0.99,-0.99,-0.99,0.0,28.78,28.0,29.0,0.35000000000000003,1347.6,1255.43,1490.8,54.26,2059.44,1733.52,2502.95,174.66,264.34,200.12,366.08,38.91,15.14,8.56,20.69,2.15,264.83,201.08,366.2,38.8,1.0,1.0,0.99,0.0,1346.39,1254.27,1489.68,54.29,39.1,38.1,40.25,0.43,40.1,39.5,40.6,0.23,55.33,54.0,56.9,0.56,66.22,65.6,66.95,0.39,66.06,65.2,66.9,0.58,55.81,55.3,56.15,0.11,56.29,55.95,56.5,0.08,113.05,113.05,113.05,0.0,25.13,24.7,27.2,0.6000000000000001,6.05,4.04,7.87,0.65,5.84,3.9,7.84,0.62,5.95,4.03,7.75,0.59,115.68,86.4,174.28,11.09,2.63,-26.65,61.23,11.09,2.63,-26.65,61.23,11.09,,,,,20.31,20.15,20.5,0.11,50.02,50.0,50.03,0.01,707.1,705.76,708.65,0.5,12.83,11.93,14.2,0.52,31.8,31.8,31.85,0.01
R80711,10,2017-06-11T01:40:00+02:00,-0.99,-0.99,-0.99,0.0,28.57,28.0,29.0,0.39,1358.78,1322.8,1391.25,16.56,2089.19,1932.88,2206.84,58.49,271.87,239.26,297.46,12.44,15.3,8.42,18.88,1.6099999999999999,272.33,239.76,297.87,12.4,1.0,1.0,1.0,0.0,1357.57,1321.56,1390.01,16.57,38.93,38.1,40.05,0.41000000000000003,40.13,39.55,40.8,0.27,54.79,53.6,56.2,0.39,65.9,65.45,66.3,0.18,65.54,65.15,65.8,0.21,55.99,55.4,56.55,0.21,56.67,56.2,57.1,0.2,113.05,113.05,113.05,0.0,29.51,27.2,31.2,1.15,6.3,4.6,8.21,0.5700000000000001,6.17,4.73,7.72,0.55,6.23,4.75,7.9,0.52,117.42,89.25,167.38,9.98,4.38,-23.8,54.33,9.98,4.38,-23.8,54.33,9.98,,,,,20.36,20.2,20.5,0.09,49.99,49.96,50.02,0.01,707.67,705.85,708.96,0.51,12.94,12.59,13.26,0.16,31.9,31.8,32.1,0.06
