Wind_turbine_name,Min_since_last,Date_time,Ba_avg,Ba_min,Ba_max,Ba_std,Rt_avg,Rt_min,Rt_max,Rt_std,DCs_avg,DCs_min,DCs_max,DCs_std,Cm_avg,Cm_min,Cm_max,Cm_std,P_avg,P_min,P_max,P_std,Q_avg,Q_min,Q_max,Q_std,S_avg,S_min,S_max,S_std,Cosphi_avg,Cosphi_min,Cosphi_max,Cosphi_std,Ds_avg,Ds_min,Ds_max,Ds_std,Db1t_avg,Db1t_min,Db1t_max,Db1t_std,Db2t_avg,Db2t_min,Db2t_max,Db2t_std,Dst_avg,Dst_min,Dst_max,Dst_std,Gb1t_avg,Gb1t_min,Gb1t_max,Gb1t_std,Gb2t_avg,Gb2t_min,Gb2t_max,Gb2t_std,Git_avg,Git_min,Git_max,Git_std,Gost_avg,Gost_min,Gost_max,Gost_std,Ya_avg,Ya_min,Ya_max,Ya_std,Yt_avg,Yt_min,Yt_max,Yt_std,Ws1_avg,Ws1_min,Ws1_max,Ws1_std,Ws2_avg,Ws2_min,Ws2_max,Ws2_std,Ws_avg,Ws_min,Ws_max,Ws_std,Wa_avg,Wa_min,Wa_max,Wa_std,Va1_avg,Va1_min,Va1_max,Va1_std,Va2_avg,Va2_min,Va2_max,Va2_std,Va_avg,Va_min,Va_max,Va_std,Ot_avg,Ot_min,Ot_max,Ot_std,Nf_avg,Nf_min,Nf_max,Nf_std,Nu_avg,Nu_min,Nu_max,Nu_std,Rs_avg,Rs_min,Rs_max,Rs_std,Rbt_avg,Rbt_min,Rbt_max,Rbt_std
R80711,,2017-10-15T00:10:00+02:00,-0.99,-0.99,-0.99,0.0,25.68,25.0,26.0,0.36,1630.46,1574.11,1696.21,27.09,3069.58,2767.37,3361.88,122.46,512.36,445.28,588.25,29.85,6.08,0.2,11.95,2.55,512.41,445.39,588.26,29.82,1.0,-1.0,1.0,0.0,1629.7,1573.35,1695.32,27.09,49.62,48.4,50.7,0.5,43.88,43.3,44.45,0.26,63.42,61.75,65.3,0.64,71.5,70.75,71.85,0.22,72.43,71.9,72.6,0.14,58.48,58.0,58.95,0.16,61.52,61.05,61.9,0.15,153.66,153.66,153.66,0.0,35.04,34.7,35.4,0.2,6.69,4.87,8.91,0.7000000000000001,6.64,4.53,8.67,0.63,6.67,4.97,8.56,0.62,160.78,126.94,214.44,9.95,7.09,-26.71,60.78,9.95,7.09,-26.71,60.78,9.95,,,,,18.42,18.2,18.5,0.04,49.96,49.94,49.99,0.01,699.15,697.08,700.64,0.93,15.55,14.99,16.19,0.26,31.06,31.0,31.2,0.05
R80711,10,2017-10-15T00:20:00+02:00,-0.99,-0.99,-0.99,0.0,25.39,25.0,26.0,0.38,1651.54,1576.21,1744.05,38.53,3169.96,2818.93,3604.09,174.25,536.59,452.68,645.3,43.51,5.54,-0.86,11.8,2.46,536.64,452.83,645.3,43.48,1.0,-1.0,1.0,0.0,1650.77,1575.49,1743.35,38.54,51.0,50.05,51.9,0.32,44.61,44.2,45.05,0.16,64.94,63.0,66.45,0.5700000000000001,71.97,71.6,72.4,0.17,72.75,72.4,73.2,0.22,58.33,57.2,59.25,0.6000000000000001,61.96,61.55,62.7,0.12,153.66,153.66,153.66,0.0,33.2,28.4,35.7,2.67,6.73,5.02,8.74,0.73,6.67,4.95,9.13,0.72,6.7,5.14,8.58,0.68,158.07,120.67,203.29,10.78,4.42,-32.99,49.63,10.78,4.42,-32.99,49.63,10.78,,,,,18.34,18.2,18.5,0.1,50.0,49.97,50.03,0.01,700.37,698.57,702.02,0.8200000000000001,15.75,15.01,16.65,0.37,31.27,31.1,31.3,0.07
R80711,10,2017-10-15T00:30:00+02:00,-0.99,-0.99,-0.99,0.0,25.84,25.0,26.0,0.28,1737.75,1648.88,1801.3,46.88,3544.17,3087.74,4294.63,241.55,635.85,522.56,802.86,61.91,1.6,-7.8,8.5,3.38,635.87,522.63,802.89,61.9,1.0,-1.0,1.0,0.0,1737.02,1648.15,1800.5,46.89,49.09,47.35,50.9,0.9400000000000001,43.64,42.7,44.5,0.44,64.66,62.3,66.25,0.62,72.25,71.15,72.65,0.2,73.73,73.1,74.1,0.26,57.66,57.0,58.15,0.18,62.15,61.35,62.45,0.13,153.66,153.66,153.66,0.0,26.41,25.0,28.4,0.9500000000000001,7.1,4.82,9.19,0.63,7.0,5.26,9.37,0.65,7.05,5.06,9.28,0.59,157.9,86.01,192.95,10.18,4.28,-67.65,39.29,10.18,4.28,-67.65,39.29,10.18,,,,,18.16,18.1,18.3,0.05,49.99,49.96,50.01,0.01,700.85,698.81,702.12,0.64,16.58,15.71,17.2,0.45,31.17,31.1,31.3,0.08
R80711,10,2017-10-15T00:40:00+02:00,-0.99,-0.99,-0.99,0.0,25.19,25.0,26.0,0.32,1636.07,1547.09,1700.05,35.11,3109.05,2703.15,3422.56,150.32,519.34,422.23,595.18,38.11,9.46,0.74,15.16,2.47,519.45,422.51,595.21,38.07,1.0,-1.0,1.0,0.0,1635.32,1546.37,1699.31,35.12,46.05,44.4,47.7,0.85,42.2,41.35,43.05,0.41000000000000003,62.31,60.1,64.4,0.88,71.31,70.6,72.1,0.37,72.89,72.4,73.6,0.36,57.33,56.7,57.9,0.17,61.95,61.7,62.35,0.09,153.66,153.66,153.66,0.0,24.25,23.6,25.0,0.45,6.73,5.14,8.45,0.61,6.66,5.11,8.75,0.62,6.69,5.19,8.51,0.58,157.21,130.28,193.7,9.38,3.51,-23.37,40.04,9.38,3.51,-23.37,40.04,9.38,,,,,17.94,17.8,18.1,0.12,50.01,49.97,50.04,0.01,701.04,699.59,703.76,0.9400000000000001,15.6,14.74,16.22,0.34,31.1,31.1,31.2,0.02
R80711,10,2017-10-15T00:50:00+02:00,-0.99,-0.99,-0.99,0.0,25.0,25.0,25.42,0.02,1559.2,1447.69,1661.83,51.72,2813.92,2336.97,3292.24,223.21,443.43,334.46,552.87,52.74,14.41,2.9699999999999998,25.5,4.06,443.73,335.09,552.96,52.59,1.0,1.0,1.0,0.0,1558.43,1446.85,1661.2,51.74,43.29,41.75,44.85,0.76,40.86,40.1,41.6,0.39,59.64,57.35,62.0,0.89,70.06,69.35,70.9,0.41000000000000003,71.68,71.0,72.6,0.46,56.41,55.0,57.7,0.58,61.6,61.2,62.05,0.14,153.66,153.66,153.66,0.0,23.22,22.8,23.6,0.24,6.35,4.4,8.68,0.76,6.25,4.27,8.64,0.74,6.3,4.34,8.66,0.72,156.64,127.93,200.07,11.35,2.99,-25.73,46.42,11.35,2.99,-25.73,46.42,11.35,,,,,17.51,17.2,17.8,0.14,50.01,49.96,50.03,0.02,699.4,694.39,704.58,2.7,14.86,13.78,15.87,0.5,31.11,31.1,31.3,0.04
R80711,10,2017-10-15T01:00:00+02:00,-0.99,-0.99,-0.99,0.0,25.0,25.0,25.0,0.0,1606.6,1413.33,1796.57,100.64,3026.55,2251.01,3861.11,409.48,498.08,308.15,721.25,104.9,12.9,0.99,26.67,6.67,498.36,308.88,721.26,104.66,1.0,1.0,1.0,0.0,1605.84,1412.4,1795.66,100.67,40.86,39.55,42.35,0.68,39.59,38.85,40.4,0.38,57.25,55.65,59.45,0.65,69.39,68.9,70.2,0.37,71.11,70.5,72.3,0.53,56.19,54.75,57.25,0.65,61.36,60.95,61.7,0.12,153.66,153.66,153.66,0.0,22.53,22.25,22.8,0.13,6.89,4.59,9.07,0.8300000000000001,6.78,4.7,9.49,0.8200000000000001,6.84,4.74,9.17,0.79,157.83,117.34,192.22,10.51,4.18,-36.32,38.57,10.51,4.18,-36.32,38.57,10.51,,,,,17.3,17.1,17.5,0.08,49.97,49.93,50.01,0.02,704.44,703.19,706.11,0.56,15.32,13.44,17.16,0.97,31.1,31.1,31.2,0.01
R80711,10,2017-10-15T01:10:00+02:00,-0.99,-0.99,-0.99,0.0,25.0,25.0,25.0,0.0,1680.11,1570.91,1754.54,47.11,3300.79,2769.49,3720.26,213.62,569.56,446.29,663.3,55.0,4.68,-3.96,12.91,2.64,569.59,446.43,663.32,54.98,1.0,-1.0,1.0,0.0,1679.37,1570.07,1753.71,47.12,38.81,37.75,40.2,0.53,38.49,37.8,39.1,0.28,55.58,54.05,57.3,0.56,70.11,69.65,70.75,0.2,72.31,71.9,72.7,0.19,56.85,56.35,57.35,0.18,61.52,60.85,61.95,0.1,153.66,153.66,153.66,0.0,22.18,21.9,23.4,0.26,6.96,4.92,9.58,0.8,6.8,4.88,9.57,0.79,6.88,4.93,9.27,0.76,156.46,126.18,201.25,9.82,2.81,-27.48,47.59,9.82,2.81,-27.48,47.59,9.82,,,,,17.34,17.1,17.5,0.11,50.0,49.97,50.03,0.01,704.55,702.82,706.62,1.13,16.02,14.97,16.75,0.45,31.1,31.1,31.2,0.01
R80711,10,2017-10-15T01:20:00+02:00,-0.99,-0.99,-0.99,0.0,25.0,25.0,25.0,0.0,1737.51,1655.09,1801.39,34.95,3559.25,3106.82,4434.42,240.65,640.41,526.38,829.26,57.06,3.11,-4.51,8.67,2.34,640.43,526.41,829.27,57.05,1.0,-1.0,1.0,0.0,1736.79,1654.27,1800.95,34.95,38.39,37.55,39.5,0.5,38.39,37.8,39.1,0.31,55.15,54.05,56.4,0.47000000000000003,71.41,70.2,72.4,0.56,73.24,72.7,73.95,0.35000000000000003,58.0,56.8,58.85,0.46,61.96,61.4,62.6,0.25,153.66,153.66,153.66,0.0,26.87,23.45,29.0,1.51,7.19,5.26,9.63,0.77,7.0,5.2,9.77,0.78,7.1,5.3,9.41,0.74,154.5,115.86,202.18,9.83,0.8300000000000001,-37.79,48.52,9.83,0.8300000000000001,-37.79,48.52,9.83,,,,,17.26,17.1,17.5,0.08,50.0,49.97,50.03,0.01,704.51,702.77,705.86,0.65,16.57,15.77,17.21,0.34,31.29,31.1,31.4,0.11
R80711,10,2017-10-15T01:30:00+02:00,-0.99,-0.99,-0.99,0.0,25.0,25.0,25.0,0.0,1613.44,1436.02,1795.73,81.78,3023.22,2293.42,4562.57,388.09,501.18,318.62,847.49,95.01,13.23,-3.46,25.61,5.5600000000000005,501.44,319.36,847.49,94.84,1.0,-1.0,1.0,0.0,1612.69,1435.19,1794.98,81.81,40.57,39.2,42.1,0.7000000000000001,39.6,38.85,40.4,0.37,56.84,55.3,58.65,0.6000000000000001,72.16,71.5,72.6,0.31,73.34,72.3,74.0,0.49,58.64,58.3,59.15,0.14,62.42,62.1,62.6,0.07,153.66,153.66,153.66,0.0,29.93,29.0,30.7,0.51,6.53,4.69,8.72,0.8,6.34,4.5,9.02,0.77,6.44,4.83,8.7,0.76,154.05,123.32,193.67,11.81,0.43,-30.33,40.01,11.81,0.43,-30.33,40.01,11.81,,,,,17.18,17.0,17.3,0.09,49.99,49.97,50.02,0.01,704.28,702.8,705.4,0.46,15.38,13.67,17.14,0.79,31.56,31.4,31.7,0.08
R80711,10,2017-10-15T01:40:00+02:00,-0.99,-0.99,-0.99,0.0,25.0,25.0,25.0,0.0,1538.59,1447.42,1703.03,57.65,2744.59,2315.12,3497.9,245.58,427.58,332.41,611.88,58.95,17.06,7.38,26.37,3.93,427.99,333.26,611.94,58.78,1.0,1.0,1.0,0.0,1537.81,1446.51,1702.39,57.68,42.78,41.5,44.05,0.62,40.72,40.1,41.4,0.31,58.38,56.75,60.4,0.65,70.95,70.5,71.65,0.2,71.71,71.4,72.35,0.21,58.38,57.75,59.0,0.22,62.3,62.0,62.9,0.1,153.66,153.66,153.66,0.0,31.07,30.6,31.7,0.26,6.3,4.24,9.72,0.87,6.12,4.37,9.03,0.8200000000000001,6.21,4.49,9.26,0.8200000000000001,156.45,104.84,196.39,11.39,2.77,-48.82,42.73,11.39,2.77,-48.82,42.73,11.39,,,,,17.03,16.9,17.1,0.04,50.0,49.97,50.02,0.01,704.54,702.63,705.9,0.58,14.66,13.77,16.25,0.55,31.74,31.6,31.8,0.07
