Ba_avg,Rt_avg,DCs_avg,Cm_avg,P_avg,S_avg,Cosphi_avg,Db1t_avg,Db2t_avg,Dst_avg,Gb1t_avg,Gb2t_avg,Git_avg,Gost_avg,Ya_avg,Yt_avg,Ws_avg,Wa_avg,Ot_avg,Nf_avg,Nu_avg,Rbt_avg
0.831264,0.545713,0.242683,0.28531,0.00835562,5.3558e-05,1,0.582097,0.645451,0.664382,0.647312,0.653624,0.63642,0.667106,0.268306,0.681611,0.212947,0.286568,0.458295,0.998203,0.951544,0.645328
0.6025,0.545713,0.345325,0.29785,0.01851,0.0107749,1,0.582886,0.642786,0.658591,0.626305,0.634191,0.674708,0.658042,0.268306,0.668184,0.217632,0.27637,0.461274,0.998004,0.950128,0.642269
8.86681e-05,0.545713,0.777463,0.408701,0.116268,0.108801,1,0.575624,0.615295,0.636965,0.675887,0.68041,0.739144,0.661009,0.268306,0.678653,0.249148,0.238913,0.46494,0.998403,0.957196,0.640857
8.86681e-05,0.545713,0.828645,0.435006,0.158341,0.151009,1,0.583675,0.612462,0.643229,0.720772,0.732406,0.755486,0.677324,0.268306,0.699818,0.273424,0.238663,0.468148,0.998203,0.965556,0.644858
8.86681e-05,0.545713,0.84695,0.444276,0.174588,0.167359,1,0.603884,0.625958,0.658946,0.75,0.757747,0.771673,0.691661,0.238389,0.716887,0.267462,0.227465,0.471357,0.997604,0.965157,0.650741
8.86681e-05,0.545713,0.880827,0.463871,0.209698,0.202707,1,0.625987,0.642286,0.678445,0.765527,0.773372,0.756265,0.70089,0.228667,0.714156,0.275128,0.234745,0.469982,0.998004,0.964951,0.655213
8.86681e-05,0.545713,0.923956,0.489517,0.257757,0.251124,1,0.645248,0.648784,0.69818,0.771529,0.788997,0.726226,0.696111,0.228667,0.690259,0.285775,0.231772,0.472961,0.997804,0.965996,0.658037
8.86681e-05,0.545713,0.93298,0.495022,0.268743,0.262205,1,0.664983,0.656448,0.717206,0.779097,0.799107,0.731518,0.699572,0.228667,0.688666,0.284923,0.228243,0.474335,0.997804,0.966133,0.662038
8.86681e-05,0.545713,0.920644,0.487283,0.25371,0.247053,1,0.684717,0.665945,0.73446,0.780141,0.798057,0.731829,0.70122,0.228667,0.691853,0.280238,0.231327,0.473877,0.998603,0.967384,0.665568
8.86681e-05,0.545713,0.925801,0.490251,0.259624,0.253017,1,0.703347,0.675441,0.751123,0.783533,0.801471,0.736031,0.704021,0.228667,0.696859,0.289608,0.239747,0.475252,0.997804,0.965666,0.67004
8.86681e-05,0.545713,0.90149,0.475278,0.231206,0.224374,1,0.721187,0.685272,0.764476,0.778706,0.793461,0.737432,0.703856,0.228667,0.702094,0.286201,0.246193,0.475252,0.998004,0.965459,0.673335
