AltAGL,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,volt1,volt2,VSpd,VSpdG
#ft agl,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,psi,deg F,rpm,gals,gals,kt,kt,G,G,deg C,deg,deg,kt,volts,volts,fpm,fpm
0.0,75.99,75.87,85.34,78.1,1040.14,1043.32,1045.88,1050.89,64.06,97.82,1347.7,21.62,20.95,0.0,0.0,0.01,0.02,17.2,2.1,0.51,0.0,28.0,28.0,13.05,0.0
0.0,76.65,76.37,86.1,78.56,1048.56,1046.87,1053.87,1060.81,64.03,97.81,1349.8,21.62,20.95,0.0,0.0,0.01,0.02,17.2,2.08,0.53,0.0,28.0,28.0,13.05,0.0
0.0,76.65,76.37,86.1,78.56,1048.56,1046.87,1053.87,1060.81,64.03,97.81,1349.8,21.62,21.0,0.0,0.0,-0.0,-0.01,17.2,2.08,0.53,0.0,28.0,28.0,-0.53,0.0
0.0,77.36,76.89,86.84,79.09,1058.35,1051.73,1062.6,1070.94,64.09,97.81,1349.8,21.62,21.0,0.0,0.0,-0.01,0.03,17.2,2.08,0.49,0.0,28.0,28.1,-20.34,0.0
0.0,78.04,77.42,87.6,79.53,1067.1,1056.0,1070.8,1080.99,64.21,97.8,1358.3,21.62,21.0,0.0,0.0,-0.01,0.01,17.2,2.08,0.53,0.0,28.0,28.0,27.69,0.0
0.0,78.81,77.95,88.4,80.12,1079.27,1061.59,1080.25,1087.22,64.27,97.79,1361.7,21.62,21.0,0.0,0.0,0.0,0.01,17.2,2.02,0.54,0.0,28.0,28.1,27.59,0.0
0.0,79.59,78.63,89.31,80.74,1093.49,1069.19,1091.24,1091.97,64.31,97.78,1363.2,21.62,21.0,0.0,0.0,-0.01,0.05,17.2,2.07,0.55,0.0,28.0,28.1,5.24,0.0
0.0,80.25,79.09,90.03,81.2,1113.2,1078.55,1104.32,1100.05,64.17,97.77,1358.8,21.62,21.0,0.0,0.0,0.0,0.01,17.2,2.03,0.58,0.0,28.0,28.0,-23.01,0.0
0.0,81.01,79.65,90.85,81.71,1133.82,1089.29,1119.77,1116.74,64.05,97.75,1352.2,21.62,21.0,0.0,0.0,0.0,-0.03,17.0,2.0,0.53,0.0,28.0,28.1,-51.37,0.0
0.0,81.89,80.35,91.82,82.44,1155.79,1103.14,1134.29,1138.39,63.9,97.73,1344.3,21.62,21.0,0.0,0.0,0.0,-0.01,17.0,1.98,0.53,0.0,28.0,28.0,-51.6,0.0
0.0,82.69,80.98,92.7,83.07,1175.38,1113.18,1149.48,1161.1,63.67,97.72,1334.5,21.68,20.97,0.0,0.0,-0.01,-0.01,17.0,1.99,0.47,0.0,28.0,28.1,-40.3,0.0
0.0,83.47,81.6,93.57,83.65,1185.41,1118.4,1157.74,1174.16,62.19,97.69,1275.8,21.68,20.95,0.0,0.0,-0.01,0.0,17.0,2.08,0.54,0.0,28.0,28.0,-42.5,0.0
0.0,84.3,82.22,94.46,84.25,1174.94,1117.43,1151.56,1167.31,59.5,97.67,1142.0,21.68,20.95,0.0,0.0,-0.01,0.02,17.0,2.13,0.53,0.0,28.0,28.0,-47.77,0.0
0.0,85.12,82.85,95.37,84.86,1154.95,1112.81,1138.06,1152.86,57.64,97.65,1020.8,21.62,20.93,0.0,0.0,-0.01,-0.01,17.0,2.16,0.51,0.0,28.0,28.0,-40.94,0.0
0.0,85.94,83.51,96.29,85.52,1134.76,1103.29,1123.84,1135.09,57.19,97.62,976.9,21.62,20.93,0.0,0.0,-0.01,-0.01,17.0,2.18,0.52,0.0,28.0,28.0,-16.93,0.0
0.0,86.83,84.16,97.17,86.3,1116.87,1092.21,1109.81,1117.66,57.09,97.59,964.5,21.68,20.93,0.0,0.0,-0.01,-0.0,17.0,2.18,0.48,0.0,28.0,28.0,6.24,0.0
2.0,87.79,84.97,98.18,87.0,1101.36,1082.13,1096.55,1104.25,57.16,97.56,967.8,21.68,20.93,0.0,0.0,-0.01,-0.02,17.0,2.19,0.51,0.0,28.0,28.0,20.84,-3.9
2.0,88.73,85.66,99.1,87.64,1089.27,1074.32,1085.43,1090.89,56.98,97.53,959.8,21.68,20.9,0.0,0.0,-0.01,0.0,17.0,2.19,0.47,0.0,28.0,28.0,5.71,-3.9
2.0,89.68,86.53,100.07,88.53,1079.63,1069.07,1075.67,1078.61,57.05,97.5,962.2,21.62,20.9,0.0,0.0,-0.0,0.01,17.0,2.2,0.47,0.0,28.0,28.0,29.7,-3.9
1.0,90.46,87.12,100.84,89.13,1069.56,1065.58,1068.27,1069.39,57.02,97.47,959.0,21.68,20.9,0.0,0.0,-0.02,0.01,17.0,2.19,0.49,0.0,28.0,28.0,39.15,-3.9
1.0,91.21,87.82,101.7,89.73,1061.11,1062.59,1060.5,1062.56,57.06,97.44,964.0,21.62,20.9,0.0,0.0,-0.01,0.0,17.0,2.21,0.49,0.0,28.0,28.0,32.44,0.0
2.0,91.52,87.77,101.79,89.83,1054.81,1060.28,1054.05,1056.01,56.98,97.41,959.0,21.62,20.9,0.0,0.0,-0.01,-0.0,17.0,2.19,0.48,0.0,28.0,28.0,16.49,0.0
