AltAGL,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,volt1,volt2,VSpd,VSpdG
#ft agl,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,psi,deg F,rpm,gals,gals,kt,kt,G,G,deg C,deg,deg,kt,volts,volts,fpm,fpm
0.0,99.16,100.46,100.97,109.34,1018.13,1007.08,992.52,949.95,65.48,84.84,1085.2,20.27,22.17,0.0,0.0,-0.02,0.03,32.0,1.86,0.48,0.0,28.0,27.9,17.45,0.0
0.0,99.78,101.07,101.61,110.14,1021.28,1008.18,995.99,951.87,65.31,84.86,1081.5,20.27,22.17,0.0,0.0,0.0,-0.02,32.0,1.77,0.48,0.0,28.0,27.9,10.39,0.0
0.0,100.49,101.86,102.4,111.06,1023.81,1010.45,999.13,953.29,65.47,84.87,1085.6,20.27,22.17,0.0,0.0,0.01,0.0,32.0,1.82,0.49,0.0,28.0,27.9,-5.14,0.0
0.0,101.12,102.52,103.07,111.47,1026.21,1012.74,999.49,953.92,65.29,84.88,1082.0,20.27,22.17,0.0,0.0,-0.01,-0.0,32.0,1.85,0.45,0.0,28.0,28.0,-22.9,0.0
0.0,101.74,103.15,103.74,112.16,1030.97,1013.65,998.24,954.84,65.39,84.89,1081.4,20.3,22.15,0.0,0.0,0.0,0.0,32.0,1.88,0.45,0.0,28.0,28.0,-29.01,3.9
0.0,101.58,103.07,103.63,112.15,1034.35,1013.2,998.32,955.69,65.37,84.9,1080.2,20.3,22.11,0.0,0.0,0.0,-0.01,31.8,1.86,0.44,0.0,28.0,28.0,-2.98,0.0
0.0,102.13,103.65,104.22,112.38,1036.13,1013.02,1000.25,955.93,65.33,84.92,1082.5,20.3,22.11,0.0,0.0,-0.0,-0.02,31.8,1.85,0.42,0.0,28.0,27.9,11.19,0.0
0.0,102.91,104.4,105.05,113.46,1037.36,1014.81,1000.41,955.69,65.33,84.93,1080.3,20.3,22.11,0.0,0.0,-0.01,-0.0,31.8,1.86,0.43,0.0,28.0,28.0,19.69,0.0
0.0,103.59,105.16,105.73,114.86,1037.48,1015.45,1000.37,957.68,65.44,84.94,1081.5,20.3,22.09,0.0,0.0,-0.01,-0.02,31.8,1.83,0.45,0.0,28.0,28.0,21.91,0.0
0.0,104.26,105.82,106.46,115.61,1038.73,1016.13,1001.74,958.16,65.48,84.96,1086.1,20.3,22.09,0.0,0.0,0.0,-0.0,31.8,1.86,0.45,0.0,28.0,28.0,-12.01,-7.9
0.0,105.05,106.72,107.27,116.31,1040.42,1017.83,1002.74,959.28,65.7,84.97,1094.1,20.3,22.13,0.0,0.0,-0.01,0.02,31.8,1.87,0.44,0.0,28.0,27.9,-12.18,3.9
0.0,105.71,107.34,108.05,117.51,1040.02,1020.1,1004.47,961.05,65.52,84.99,1093.5,20.25,22.13,0.0,0.0,0.0,0.01,31.8,1.83,0.43,0.0,28.0,28.0,-11.39,3.9
